"Province_State" "Country_Region" "Lat" "Long_" "Confirmed" "Deaths" "Recovered" "Active"
"933" "Connecticut" "US" 41.80283011 -72.73103891 27844 1595 0 26249
"934" "Connecticut" "US" 41.7937534 -73.2451475 4231 161 0 4070
"935" "Connecticut" "US" 41.45949668 -72.53714864 3567 206 0 3361
"936" "Connecticut" "US" 41.4080325 -72.93620426 27925 1238 0 26687
"937" "Connecticut" "US" 41.48896435 -72.10430976 5867 168 0 5699
"938" "Connecticut" "US" 41.85853803 -72.3308481 2977 74 0 2903
"939" "Connecticut" "US" 41.82972709 -71.98182316 2468 28 0 2440
"940" "Delaware" "US" 39.08646628 -75.56884914 4899 128 0 4771
"941" "Delaware" "US" 39.57992638 -75.64054974 19409 376 0 19033
"942" "Delaware" "US" 38.66143781 -75.39031349 10253 259 0 9994
"943" "District of Columbia" "US" 38.90417773 -77.01655992 21038 678 0 20360
"944" "Florida" "US" 29.67866525 -82.35928158 12769 99 0 12670
"945" "Florida" "US" 30.33060121 -82.28467476 2009 32 0 1977
"946" "Florida" "US" 30.26548745 -85.62122584 8421 156 0 8265
"947" "Florida" "US" 29.95079741 -82.16611613 1404 19 0 1385
"948" "Florida" "US" 28.29409504 -80.73091022 15361 438 0 14923
"949" "Florida" "US" 26.15184651 -80.48725556 105877 1652 0 104225
"950" "Florida" "US" 30.40666734 -85.19394153 862 22 0 840
"951" "Florida" "US" 26.90131002 -81.92949121 5003 193 0 4810
"952" "Florida" "US" 28.84804315 -82.47614748 4700 165 0 4535
"953" "Florida" "US" 29.98319144 -81.85609986 7896 148 0 7748
"954" "Florida" "US" 26.11091986 -81.34687065 17647 280 0 17367
"955" "Florida" "US" 30.22509788 -82.62160164 4764 94 0 4670
"956" "Florida" "US" 27.18677893 -81.80941373 2359 34 0 2325
"957" "Florida" "US" 29.60631086 -83.15724673 960 11 0 949
"958" "Florida" "US" 30.33225875 -81.66976468 43241 591 0 42650
"959" "Florida" "US" 30.67652764 -87.37284571 16578 304 0 16274
"960" "Florida" "US" 29.45933576 -81.31508595 2707 42 0 2665
"961" "Florida" "US" 29.83791238 -84.82731662 830 4 0 826
"962" "Florida" "US" 30.57796289 -84.61915825 3286 57 0 3229
"963" "Florida" "US" 29.72856978 -82.79880657 760 19 0 741
"964" "Florida" "US" 26.95635849 -81.18996211 665 10 0 655
"965" "Florida" "US" 29.93543004 -85.2427099 1059 19 0 1040
"966" "Florida" "US" 30.49673973 -82.94998918 977 11 0 966
"967" "Florida" "US" 27.49293939 -81.80956574 1760 18 0 1742
"968" "Florida" "US" 26.55386945 -81.16469006 2485 45 0 2440
"969" "Florida" "US" 28.55364461 -82.42700204 4929 207 0 4722
"970" "Florida" "US" 27.34254618 -81.34071957 3713 146 0 3567
"971" "Florida" "US" 27.9276559 -82.32013172 57728 923 0 56805
"972" "Florida" "US" 30.86747479 -85.81319222 1155 15 0 1140
"973" "Florida" "US" 27.69308961 -80.60556721 4968 136 0 4832
"974" "Florida" "US" 30.7954597 -85.21500423 3868 90 0 3778
"975" "Florida" "US" 30.43669112 -83.89442308 770 11 0 759
"976" "Florida" "US" 29.98484137 -83.18166636 1321 20 0 1301
"977" "Florida" "US" 28.76202069 -81.7125123 10531 254 0 10277
"978" "Florida" "US" 26.58410348 -81.88399313 29613 574 0 29039
"979" "Florida" "US" 30.45955727 -84.27491114 14885 139 0 14746
"980" "Florida" "US" 29.31829741 -82.74007147 1394 14 0 1380
"981" "Florida" "US" 30.23766008 -84.8829258 590 14 0 576
"982" "Florida" "US" 30.44396917 -83.47398594 1258 27 0 1231
"983" "Florida" "US" 27.47196942 -82.31831044 16570 371 0 16199
"984" "Florida" "US" 29.21227113 -82.05803627 12937 379 0 12558
"985" "Florida" "US" 27.0772071 -80.43109784 6214 172 0 6042
"986" "Florida" "US" 25.6112362 -80.55170587 225632 3823 0 221809
"987" "Florida" "US" 25.20904673 -81.07812416 3321 27 0 3294
"988" "Florida" "US" 30.61037141 -81.80297522 3130 56 0 3074
"989" "Florida" "US" 30.69143028 -86.59267105 8793 147 0 8646
"990" "Florida" "US" 27.3863362 -80.88944347 2033 43 0 1990
"991" "Florida" "US" 28.51367621 -81.31799498 57321 645 0 56676
"992" "Florida" "US" 28.06312234 -81.14882926 18047 241 0 17806
"993" "Florida" "US" 26.64676272 -80.46536002 64670 1678 0 62992
"994" "Florida" "US" 28.30810945 -82.40227529 14619 271 0 14348
"995" "Florida" "US" 27.93130349 -82.72239666 32630 895 0 31735
"996" "Florida" "US" 27.95027105 -81.69732947 27300 673 0 26627
"997" "Florida" "US" 29.60779729 -81.74230285 2729 58 0 2671
"998" "Florida" "US" 30.6934145 -87.02458128 7403 102 0 7301
"999" "Florida" "US" 27.18546175 -82.33174248 13453 388 0 13065
"1000" "Florida" "US" 28.7158582 -81.24060348 12740 274 0 12466
"1001" "Florida" "US" 29.90096506 -81.43589967 8649 95 0 8554
"1002" "Florida" "US" 27.37763908 -80.47106649 10702 367 0 10335
"1003" "Florida" "US" 28.70181754 -82.0794267 3428 95 0 3333
"1004" "Florida" "US" 30.19746066 -82.9909967 3268 86 0 3182
"1005" "Florida" "US" 30.04848048 -83.60445406 1637 21 0 1616
"1006" "Florida" "US" 30.04412971 -82.37497443 1225 59 0 1166
"1007" "Florida" "US" 29.05858895 -81.18263252 16255 367 0 15888
"1008" "Florida" "US" 30.16548905 -84.39895211 1603 14 0 1589
"1009" "Florida" "US" 30.64204028 -86.16935664 3650 37 0 3613
"1010" "Florida" "US" 30.61359259 -85.66002461 1513 25 0 1488
"1011" "Georgia" "US" 31.74847232 -82.28909114 1328 39 0 1289
"1012" "Georgia" "US" 31.29633502 -82.87545866 593 9 0 584
"1013" "Georgia" "US" 31.55456473 -82.45936528 750 24 0 726
"1014" "Georgia" "US" 31.32669878 -84.44218806 125 6 0 119
"1015" "Georgia" "US" 33.06882326 -83.24701748 2664 71 0 2593
"1016" "Georgia" "US" 34.35607081 -83.49644388 781 13 0 768
"1017" "Georgia" "US" 33.99148694 -83.71436292 3447 57 0 3390
"1018" "Georgia" "US" 34.23732119 -84.83887523 5134 107 0 5027
"1019" "Georgia" "US" 31.76095874 -83.22145359 1007 39 0 968
"1020" "Georgia" "US" 31.27590016 -83.2252992 723 28 0 695
"1021" "Georgia" "US" 32.80904227 -83.70489165 7586 234 0 7352
"1022" "Georgia" "US" 32.43829035 -83.33035166 709 33 0 676
"1023" "Georgia" "US" 31.19576557 -81.97743999 789 19 0 770
"1024" "Georgia" "US" 30.83922642 -83.58303423 672 30 0 642
"1025" "Georgia" "US" 32.00979311 -81.44002948 1508 18 0 1490
"1026" "Georgia" "US" 32.39577406 -81.74811421 3754 54 0 3700
"1027" "Georgia" "US" 33.05917989 -81.99928721 1236 15 0 1221
"1028" "Georgia" "US" 33.2830945 -83.9543504 1077 46 0 1031
"1029" "Georgia" "US" 31.53169785 -84.62725131 293 11 0 282
"1030" "Georgia" "US" 30.92951916 -81.66601818 1842 20 0 1822
"1031" "Georgia" "US" 32.40209349 -82.07702563 616 34 0 582
"1032" "Georgia" "US" 33.58138199 -85.07976677 5570 93 0 5477
"1033" "Georgia" "US" 34.89872298 -85.13757014 2089 30 0 2059
"1034" "Georgia" "US" 30.78371028 -82.13951596 798 17 0 781
"1035" "Georgia" "US" 32.00043026 -81.12489526 10894 210 0 10684
"1036" "Georgia" "US" 32.34341231 -84.78809239 1991 4 0 1987
"1037" "Georgia" "US" 34.47197698 -85.34535662 1239 33 0 1206
"1038" "Georgia" "US" 34.24393976 -84.47431861 10572 117 0 10455
"1039" "Georgia" "US" 33.95436462 -83.37124007 7925 56 0 7869
"1040" "Georgia" "US" 31.62221166 -84.97713865 149 3 0 146
"1041" "Georgia" "US" 33.54187245 -84.35594188 10463 202 0 10261
"1042" "Georgia" "US" 30.91395822 -82.70432472 534 13 0 521
"1043" "Georgia" "US" 33.94243204 -84.5761255 29833 506 0 29327
"1044" "Georgia" "US" 31.54892966 -82.8549206 2936 80 0 2856
"1045" "Georgia" "US" 31.18810588 -83.7677946 2571 47 0 2524
"1046" "Georgia" "US" 33.54534185 -82.263524 6463 77 0 6386
"1047" "Georgia" "US" 31.16068491 -83.42947229 890 18 0 872
"1048" "Georgia" "US" 33.35334302 -84.76129976 5332 72 0 5260
"1049" "Georgia" "US" 32.71391813 -83.98061238 248 7 0 241
"1050" "Georgia" "US" 31.92289565 -83.76811843 934 32 0 902
"1051" "Georgia" "US" 34.8549167 -85.50490424 517 7 0 510
"1052" "Georgia" "US" 34.44244079 -84.16964071 1156 11 0 1145
"1053" "Georgia" "US" 33.76944049 -84.22396017 27465 456 0 27009
"1054" "Georgia" "US" 30.87967778 -84.57619536 1581 47 0 1534
"1055" "Georgia" "US" 32.17265114 -83.16948926 1067 50 0 1017
"1056" "Georgia" "US" 32.15630737 -83.79746561 487 19 0 468
"1057" "Georgia" "US" 31.53328528 -84.21722377 3706 204 0 3502
"1058" "Georgia" "US" 33.70291126 -84.77026156 5682 88 0 5594
"1059" "Georgia" "US" 31.32155345 -84.90255207 689 36 0 653
"1060" "Georgia" "US" 30.71101099 -82.89687287 279 3 0 276
"1061" "Georgia" "US" 32.36616021 -81.34280942 2205 33 0 2172
"1062" "Georgia" "US" 34.11302332 -82.83936148 1187 24 0 1163
"1063" "Georgia" "US" 32.59221302 -82.30239915 1427 47 0 1380
"1064" "Georgia" "US" 32.15328841 -81.8870105 557 13 0 544
"1065" "Georgia" "US" 34.86430205 -84.316964 1026 36 0 990
"1066" "Georgia" "US" 33.41357794 -84.49089434 3238 62 0 3176
"1067" "Georgia" "US" 34.26268279 -85.21577392 5572 82 0 5490
"1068" "Georgia" "US" 34.22604035 -84.1231513 6837 62 0 6775
"1069" "Georgia" "US" 34.37525597 -83.23159927 1241 23 0 1218
"1070" "Georgia" "US" 33.79216944 -84.46319413 40486 699 0 39787
"1071" "Georgia" "US" 34.69316688 -84.45802506 1278 33 0 1245
"1072" "Georgia" "US" 33.22879932 -82.61297636 80 2 0 78
"1073" "Georgia" "US" 31.23279254 -81.53811412 4305 121 0 4184
"1074" "Georgia" "US" 34.50487351 -84.87296253 3462 60 0 3402
"1075" "Georgia" "US" 30.87454847 -84.23418364 1010 31 0 979
"1076" "Georgia" "US" 33.5769205 -83.17139104 728 28 0 700
"1077" "Georgia" "US" 33.96044201 -84.02137802 39510 525 0 38985
"1078" "Georgia" "US" 34.63331566 -83.53094677 2328 82 0 2246
"1079" "Georgia" "US" 34.32207823 -83.81896936 12635 201 0 12434
"1080" "Georgia" "US" 33.2721566 -82.99766919 492 46 0 446
"1081" "Georgia" "US" 33.79602175 -85.21005667 1328 23 0 1305
"1082" "Georgia" "US" 32.73709786 -84.90538572 1039 28 0 1011
"1083" "Georgia" "US" 34.34626973 -82.96567682 828 27 0 801
"1084" "Georgia" "US" 33.29686567 -85.12886832 384 7 0 377
"1085" "Georgia" "US" 33.4533428 -84.1481466 8687 137 0 8550
"1086" "Georgia" "US" 32.45802497 -83.66879087 4810 107 0 4703
"1087" "Georgia" "US" 31.60213036 -83.27501387 444 13 0 431
"1088" "Georgia" "US" 34.13794553 -83.56814788 3374 57 0 3317
"1089" "Georgia" "US" 33.31535543 -83.68844964 474 6 0 468
"1090" "Georgia" "US" 31.80405727 -82.6372487 964 33 0 931
"1091" "Georgia" "US" 33.05867328 -82.41609057 996 40 0 956
"1092" "Georgia" "US" 32.79248718 -81.96040187 498 34 0 464
"1093" "Georgia" "US" 32.70211082 -82.66166794 529 31 0 498
"1094" "Georgia" "US" 33.02512137 -83.56019163 792 20 0 772
"1095" "Georgia" "US" 33.07841647 -84.14263877 710 26 0 684
"1096" "Georgia" "US" 31.0382857 -83.06472457 400 10 0 390
"1097" "Georgia" "US" 32.46325233 -82.92221316 2610 113 0 2497
"1098" "Georgia" "US" 31.7793306 -84.14324253 954 33 0 921
"1099" "Georgia" "US" 31.82588896 -81.49251135 1559 29 0 1530
"1100" "Georgia" "US" 33.79201475 -82.45024131 323 10 0 313
"1101" "Georgia" "US" 31.75218791 -81.74952375 333 5 0 328
"1102" "Georgia" "US" 30.83568832 -83.27056716 6340 126 0 6214
"1103" "Georgia" "US" 34.57286511 -84.00425681 1285 20 0 1265
"1104" "Georgia" "US" 32.35207048 -84.04234127 336 15 0 321
"1105" "Georgia" "US" 34.12920917 -83.21218732 1146 19 0 1127
"1106" "Georgia" "US" 32.3483402 -84.52733571 248 10 0 238
"1107" "Georgia" "US" 33.47851918 -82.48252774 932 21 0 911
"1108" "Georgia" "US" 31.49683595 -81.40163426 387 9 0 378
"1109" "Georgia" "US" 33.04163534 -84.68859732 788 19 0 769
"1110" "Georgia" "US" 31.16568912 -84.73151117 406 3 0 403
"1111" "Georgia" "US" 31.22483255 -84.19381821 980 50 0 930
"1112" "Georgia" "US" 33.014289 -83.92097166 1041 61 0 980
"1113" "Georgia" "US" 32.17201038 -82.53527476 425 11 0 414
"1114" "Georgia" "US" 33.59232073 -83.49129491 819 8 0 811
"1115" "Georgia" "US" 34.78897608 -84.74993177 1839 24 0 1815
"1116" "Georgia" "US" 32.50931999 -84.87142262 7297 192 0 7105
"1117" "Georgia" "US" 33.55514538 -83.8454714 3853 109 0 3744
"1118" "Georgia" "US" 33.83749973 -83.43679568 1375 35 0 1340
"1119" "Georgia" "US" 33.8786296 -83.08278123 560 14 0 546
"1120" "Georgia" "US" 33.91969522 -84.86848792 5094 78 0 5016
"1121" "Georgia" "US" 32.56934316 -83.82937 1069 28 0 1041
"1122" "Georgia" "US" 34.46589159 -84.46406611 1122 16 0 1106
"1123" "Georgia" "US" 31.35928155 -82.21598442 1203 29 0 1174
"1124" "Georgia" "US" 33.09310242 -84.38790389 808 17 0 791
"1125" "Georgia" "US" 34.00267074 -85.18677781 2437 34 0 2403
"1126" "Georgia" "US" 32.23334561 -83.4754996 450 26 0 424
"1127" "Georgia" "US" 33.32056115 -83.37552891 986 30 0 956
"1128" "Georgia" "US" 31.86728114 -85.01773177 80 1 0 79
"1129" "Georgia" "US" 34.88389445 -83.40304637 582 11 0 571
"1130" "Georgia" "US" 31.76622818 -84.75732369 368 30 0 338
"1131" "Georgia" "US" 33.35777107 -82.07026432 10286 219 0 10067
"1132" "Georgia" "US" 33.65145002 -84.02202167 2748 56 0 2692
"1133" "Georgia" "US" 32.2654021 -84.31258912 162 2 0 160
"1134" "Georgia" "US" 32.74976524 -81.60779441 500 14 0 486
"1135" "Georgia" "US" 30.93464824 -84.86823924 534 12 0 522
"1136" "Georgia" "US" 33.26310031 -84.28013991 2410 79 0 2331
"1137" "Georgia" "US" 34.55151201 -83.29405315 1519 47 0 1472
"1138" "Georgia" "US" 32.07996777 -84.83208037 624 17 0 607
"1139" "Georgia" "US" 32.03650571 -84.19821492 1236 71 0 1165
"1140" "Georgia" "US" 32.69642758 -84.53351366 230 8 0 222
"1141" "Georgia" "US" 33.56543317 -82.88136816 41 0 0 41
"1142" "Georgia" "US" 32.04785085 -82.05539188 1146 26 0 1120
"1143" "Georgia" "US" 32.55792548 -84.25077141 358 13 0 345
"1144" "Georgia" "US" 31.92829517 -82.93491155 647 28 0 619
"1145" "Georgia" "US" 31.77527543 -84.44069698 396 33 0 363
"1146" "Georgia" "US" 30.86392347 -83.91847289 1934 81 0 1853
"1147" "Georgia" "US" 31.45743864 -83.5236119 2529 75 0 2454
"1148" "Georgia" "US" 32.12059861 -82.32957247 1702 65 0 1637
"1149" "Georgia" "US" 34.91369188 -83.7410746 569 29 0 540
"1150" "Georgia" "US" 32.40422134 -82.56904553 384 14 0 370
"1151" "Georgia" "US" 33.03349196 -85.02812115 3920 120 0 3800
"1152" "Georgia" "US" 31.71612656 -83.62069378 447 25 0 422
"1153" "Georgia" "US" 32.67435595 -83.43078662 257 18 0 239
"1154" "Georgia" "US" 34.82995757 -83.98967069 1079 36 0 1043
"1155" "Georgia" "US" 32.87920671 -84.30024826 1516 78 0 1438
"1156" "Georgia" "US" 34.73376362 -85.30165174 2663 52 0 2611
"1157" "Georgia" "US" 33.78017694 -83.73552314 3284 80 0 3204
"1158" "Georgia" "US" 31.05449097 -82.42224148 2611 79 0 2532
"1159" "Georgia" "US" 33.41146451 -82.67795848 214 8 0 206
"1160" "Georgia" "US" 32.96711864 -82.79357039 1106 29 0 1077
"1161" "Georgia" "US" 31.5521809 -81.91894878 1661 48 0 1613
"1162" "Georgia" "US" 32.04066113 -84.54742852 62 2 0 60
"1163" "Georgia" "US" 32.12009104 -82.72574721 423 19 0 404
"1164" "Georgia" "US" 34.64624278 -83.74905525 1310 27 0 1283
"1165" "Georgia" "US" 34.80987459 -84.96093476 7832 82 0 7750
"1166" "Georgia" "US" 31.97496928 -83.43438555 373 27 0 346
"1167" "Georgia" "US" 33.78290391 -82.74286107 439 7 0 432
"1168" "Georgia" "US" 32.80291082 -83.17140684 437 18 0 419
"1169" "Georgia" "US" 31.55162306 -83.85090513 734 38 0 696
"1170" "Guam" "US" 13.4443 144.7937 6768 112 0 6656
"1171" "Hawaii" "US" 19.60121157 -155.5210167 1604 32 0 1572
"1172" "Hawaii" "US" 21.45803166 -157.9712182 15328 188 0 15140
"1173" "Hawaii" "US" 22.03935037 -159.5966786 112 1 0 111
"1174" "Hawaii" "US" 20.86399628 -156.5689097 827 17 0 810
"1175" "Idaho" "US" 43.4526575 -116.2415516 25131 240 0 24891
"1176" "Idaho" "US" 44.89333571 -116.4545247 102 2 0 100
"1177" "Idaho" "US" 42.67002716 -112.2233311 4413 29 0 4384
"1178" "Idaho" "US" 42.28269683 -111.3289238 187 1 0 186
"1179" "Idaho" "US" 47.21754179 -116.6586851 274 3 0 271
"1180" "Idaho" "US" 43.2167288 -112.3978437 2722 27 0 2695
"1181" "Idaho" "US" 43.4085812 -113.9752658 1279 7 0 1272
"1182" "Idaho" "US" 43.98829931 -115.7309284 137 2 0 135
"1183" "Idaho" "US" 48.29996017 -116.6017932 970 3 0 967
"1184" "Idaho" "US" 43.38713372 -111.6161537 7346 62 0 7284
"1185" "Idaho" "US" 48.76684761 -116.4630179 352 3 0 349
"1186" "Idaho" "US" 43.72592209 -113.1735463 123 0 0 123
"1187" "Idaho" "US" 43.46665742 -114.8065892 52 0 0 52
"1188" "Idaho" "US" 43.61970148 -116.7095499 15178 142 0 15036
"1189" "Idaho" "US" 42.77149116 -111.5597683 439 10 0 429
"1190" "Idaho" "US" 42.28347888 -113.6012409 2155 17 0 2138
"1191" "Idaho" "US" 44.28496071 -112.3505704 48 0 0 48
"1192" "Idaho" "US" 46.67459924 -115.6622393 529 0 0 529
"1193" "Idaho" "US" 44.24186819 -114.2855494 144 1 0 143
"1194" "Idaho" "US" 43.3507101 -115.4701578 890 6 0 884
"1195" "Idaho" "US" 42.18332217 -111.8149666 683 5 0 678
"1196" "Idaho" "US" 44.22800938 -111.4809943 698 10 0 688
"1197" "Idaho" "US" 44.06482372 -116.398376 947 5 0 942
"1198" "Idaho" "US" 42.96927962 -114.8108306 945 9 0 936
"1199" "Idaho" "US" 45.84721541 -115.4634436 730 6 0 724
"1200" "Idaho" "US" 43.82078483 -112.3131749 1480 11 0 1469
"1201" "Idaho" "US" 42.68891267 -114.2655033 1876 12 0 1864
"1202" "Idaho" "US" 47.67282258 -116.7020872 7392 76 0 7316
"1203" "Idaho" "US" 46.81587887 -116.7113698 1683 3 0 1680
"1204" "Idaho" "US" 44.9438088 -113.9309747 424 7 0 417
"1205" "Idaho" "US" 46.23315327 -116.434146 194 4 0 190
"1206" "Idaho" "US" 43.0012336 -114.1358773 353 8 0 345
"1207" "Idaho" "US" 43.78141028 -111.6538474 4065 8 0 4057
"1208" "Idaho" "US" 42.85518524 -113.6357257 1754 14 0 1740
"1209" "Idaho" "US" 46.32638236 -116.7500975 2233 32 0 2201
"1210" "Idaho" "US" 42.1949428 -112.5407838 138 0 0 138
"1211" "Idaho" "US" 42.58016894 -116.1693871 670 5 0 665
"1212" "Idaho" "US" 44.00545243 -116.7647695 1613 14 0 1599
"1213" "Idaho" "US" 42.69254894 -112.8395742 459 4 0 455
"1214" "Idaho" "US" 47.35364087 -115.8916749 503 22 0 481
"1215" "Idaho" "US" 43.75303583 -111.2056773 546 2 0 544
"1216" "Idaho" "US" 42.35440512 -114.6685381 6801 89 0 6712
"1217" "Idaho" "US" 44.76728382 -115.5676773 244 1 0 243
"1218" "Idaho" "US" 44.45275475 -116.7847688 754 11 0 743
"1219" "Illinois" "US" 39.98815591 -91.18786813 4695 48 0 4647
"1220" "Illinois" "US" 37.18049267 -89.32910838 253 2 0 251
"1221" "Illinois" "US" 38.88829622 -89.43534887 1040 10 0 1030
"1222" "Illinois" "US" 42.32359279 -88.82345779 3871 33 0 3838
"1223" "Illinois" "US" 39.96209138 -90.75068024 322 4 0 318
"1224" "Illinois" "US" 41.40385234 -89.5283051 2094 43 0 2051
"1225" "Illinois" "US" 39.16840183 -90.66330078 235 0 0 235
"1226" "Illinois" "US" 42.06823429 -89.93395545 1063 24 0 1039
"1227" "Illinois" "US" 39.96991073 -90.24734436 957 23 0 934
"1228" "Illinois" "US" 40.13919438 -88.20046615 10686 57 0 10629
"1229" "Illinois" "US" 39.54581621 -89.27780482 1882 43 0 1839
"1230" "Illinois" "US" 39.33425789 -87.78705622 794 20 0 774
"1231" "Illinois" "US" 38.75388572 -88.48914513 836 20 0 816
"1232" "Illinois" "US" 38.60704876 -89.42385254 3279 61 0 3218
"1233" "Illinois" "US" 39.51949084 -88.22358557 3284 59 0 3225
"1234" "Illinois" "US" 41.84144849 -87.81658794 301582 6568 0 295014
"1235" "Illinois" "US" 39.0032229 -87.75954624 1117 13 0 1104
"1236" "Illinois" "US" 39.27432424 -88.2401158 610 16 0 594
"1237" "Illinois" "US" 40.17514519 -88.90959682 605 17 0 588
"1238" "Illinois" "US" 41.89373302 -88.76958483 4947 47 0 4900
"1239" "Illinois" "US" 39.76768052 -88.21854195 1347 16 0 1331
"1240" "Illinois" "US" 41.85116968 -88.08642662 44656 786 0 43870
"1241" "Illinois" "US" 39.6809186 -87.74759563 797 15 0 782
"1242" "Illinois" "US" 38.41353228 -88.05720863 225 3 0 222
"1243" "Illinois" "US" 39.05935711 -88.58969584 2756 21 0 2735
"1244" "Illinois" "US" 39.00072038 -89.02452658 1705 29 0 1676
"1245" "Illinois" "US" 40.59706922 -88.22350769 743 22 0 721
"1246" "Illinois" "US" 37.99189086 -88.92567818 2021 25 0 1996
"1247" "Illinois" "US" 40.47289135 -90.20862357 1435 11 0 1424
"1248" "Illinois" "US" 37.76430935 -88.22953869 191 3 0 188
"1249" "Illinois" "US" 39.35907414 -90.388865 821 31 0 790
"1250" "Illinois" "US" 41.28569601 -88.41905692 2739 18 0 2721
"1251" "Illinois" "US" 38.08163641 -88.53883373 385 3 0 382
"1252" "Illinois" "US" 40.40423981 -91.16313899 947 12 0 935
"1253" "Illinois" "US" 37.51810645 -88.26873022 153 1 0 152
"1254" "Illinois" "US" 40.81908672 -90.92491462 286 1 0 285
"1255" "Illinois" "US" 41.3533994 -90.13296166 2650 15 0 2635
"1256" "Illinois" "US" 40.74717633 -87.82466784 1664 26 0 1638
"1257" "Illinois" "US" 37.78595185 -89.38232563 2644 36 0 2608
"1258" "Illinois" "US" 39.01054275 -88.15437049 639 11 0 628
"1259" "Illinois" "US" 38.29980057 -88.9240025 1851 59 0 1792
"1260" "Illinois" "US" 39.08869046 -90.35393073 1221 24 0 1197
"1261" "Illinois" "US" 42.36542373 -90.21094405 1065 17 0 1048
"1262" "Illinois" "US" 37.45939802 -88.88165419 712 6 0 706
"1263" "Illinois" "US" 41.93842729 -88.42861412 31493 466 0 31027
"1264" "Illinois" "US" 41.13746989 -87.86205334 8548 103 0 8445
"1265" "Illinois" "US" 41.59081014 -88.42869583 6216 47 0 6169
"1266" "Illinois" "US" 40.93148779 -90.2133034 2774 65 0 2709
"1267" "Illinois" "US" 41.3442613 -88.88633881 6041 133 0 5908
"1268" "Illinois" "US" 42.3224907 -88.00367925 36845 631 0 36214
"1269" "Illinois" "US" 38.71987914 -87.72884035 1042 11 0 1031
"1270" "Illinois" "US" 41.74583951 -89.29977132 1989 34 0 1955
"1271" "Illinois" "US" 40.89188292 -88.55784752 2234 27 0 2207
"1272" "Illinois" "US" 40.12581572 -89.36638784 1680 13 0 1667
"1273" "Illinois" "US" 39.86064913 -88.96342505 6423 132 0 6291
"1274" "Illinois" "US" 39.26119767 -89.92424028 2184 18 0 2166
"1275" "Illinois" "US" 38.83042506 -89.90422563 14210 253 0 13957
"1276" "Illinois" "US" 38.64963204 -88.91899208 2455 51 0 2404
"1277" "Illinois" "US" 41.0327901 -89.34510444 403 6 0 397
"1278" "Illinois" "US" 40.23917274 -89.91824452 712 19 0 693
"1279" "Illinois" "US" 37.22078441 -88.71036614 586 3 0 583
"1280" "Illinois" "US" 40.45674722 -90.67775541 1575 41 0 1534
"1281" "Illinois" "US" 42.32451172 -88.45248227 14182 156 0 14026
"1282" "Illinois" "US" 40.48996987 -88.84621113 8300 54 0 8246
"1283" "Illinois" "US" 40.02742725 -89.80246001 463 1 0 462
"1284" "Illinois" "US" 41.20596782 -90.74290052 739 10 0 729
"1285" "Illinois" "US" 38.27594376 -90.17761038 2060 45 0 2015
"1286" "Illinois" "US" 39.23198845 -89.47809254 1141 19 0 1122
"1287" "Illinois" "US" 39.71654544 -90.20255104 2186 36 0 2150
"1288" "Illinois" "US" 39.64187451 -88.62099969 886 10 0 876
"1289" "Illinois" "US" 42.04165196 -89.32184679 2815 36 0 2779
"1290" "Illinois" "US" 40.78702156 -89.76078901 8997 131 0 8866
"1291" "Illinois" "US" 38.08510853 -89.36856219 1081 23 0 1058
"1292" "Illinois" "US" 40.01360584 -88.59319339 775 5 0 770
"1293" "Illinois" "US" 39.62265059 -90.8877017 1006 27 0 979
"1294" "Illinois" "US" 37.41391284 -88.56152109 101 1 0 100
"1295" "Illinois" "US" 37.22631423 -89.13085001 411 2 0 409
"1296" "Illinois" "US" 41.2013541 -89.2869272 242 0 0 242
"1297" "Illinois" "US" 38.05095369 -89.82512254 2242 26 0 2216
"1298" "Illinois" "US" 38.71240969 -88.08475366 751 19 0 732
"1299" "Illinois" "US" 41.46613806 -90.57042164 8532 134 0 8398
"1300" "Illinois" "US" 37.75332999 -88.54119706 1107 25 0 1082
"1301" "Illinois" "US" 39.75836914 -89.65872023 10038 99 0 9939
"1302" "Illinois" "US" 40.1571798 -90.61114163 267 1 0 266
"1303" "Illinois" "US" 39.6429169 -90.47814431 231 0 0 231
"1304" "Illinois" "US" 39.39133527 -88.80611122 1366 26 0 1340
"1305" "Illinois" "US" 38.46996033 -89.93063427 13185 259 0 12926
"1306" "Illinois" "US" 41.09309773 -89.79745866 262 3 0 259
"1307" "Illinois" "US" 42.35129217 -89.662598 2433 35 0 2398
"1308" "Illinois" "US" 40.50716185 -89.51404662 6710 104 0 6606
"1309" "Illinois" "US" 37.47119609 -89.25548938 1179 28 0 1151
"1310" "Illinois" "US" 40.18417171 -87.73384359 3854 51 0 3803
"1311" "Illinois" "US" 38.44272901 -87.84922065 535 8 0 527
"1312" "Illinois" "US" 40.84925021 -90.6147432 1071 20 0 1051
"1313" "Illinois" "US" 38.35309213 -89.40982703 684 2 0 682
"1314" "Illinois" "US" 38.42955355 -88.42586459 895 33 0 862
"1315" "Illinois" "US" 38.08706198 -88.17657461 609 8 0 601
"1316" "Illinois" "US" 41.75509713 -89.91556058 3713 115 0 3598
"1317" "Illinois" "US" 41.44619267 -87.97862712 38291 563 0 37728
"1318" "Illinois" "US" 37.73033511 -88.92994027 3557 82 0 3475
"1319" "Illinois" "US" 42.33641854 -89.16085327 18680 262 0 18418
"1320" "Illinois" "US" 40.78579374 -89.20973757 1724 27 0 1697
