"Province_State" "Country_Region" "Lat" "Long_" "Confirmed" "Deaths" "Recovered" "Active"
"82" "Prince Edward Island" "Canada" 46.5107 -63.4168 72 0 68 4
"83" "Quebec" "Canada" 52.9399 -73.5491 139643 7021 120906 11716
"84" "Saskatchewan" "Canada" 52.9399 -106.4509 7888 45 4521 3322
"85" "Yukon" "Canada" 64.2823 -135 45 1 29 15
"86" "Central African Republic" "Central African Republic" 6.6111 20.9394 4913 63 1924 2926
"87" "Chad" "Chad" 15.4542 18.7322 1663 101 1504 58
"88" "Antofagasta" "Chile" -23.6509 -70.3975 22151 561 21390 200
"89" "Araucania" "Chile" -38.9489 -72.3311 17249 223 16090 936
"90" "Arica y Parinacota" "Chile" -18.594 -69.4785 10205 204 9879 122
"91" "Atacama" "Chile" -27.5661 -70.0503 8138 105 7941 92
"92" "Aysen" "Chile" -45.9864 -73.7669 1252 14 1190 48
"93" "Biobio" "Chile" -37.4464 -72.1416 36075 600 33662 1813
"94" "Coquimbo" "Chile" -29.959 -71.3389 13070 268 12659 143
"95" "Los Lagos" "Chile" -41.9198 -72.1416 20355 195 19078 1082
"96" "Los Rios" "Chile" -40.231 -72.3311 5958 53 5306 599
"97" "Magallanes" "Chile" -52.368 -70.9863 14310 190 13563 557
"98" "Maule" "Chile" -35.5183 -71.6885 20928 486 19857 585
"99" "Metropolitana" "Chile" -33.4376 -70.6505 304601 10308 291943 2350
"100" "Nuble" "Chile" -36.7226 -71.7622 8696 176 8173 347
"101" "OHiggins" "Chile" -34.5755 -71.0022 19783 539 18979 265
"102" "Tarapaca" "Chile" -19.9232 -69.5132 13831 255 13313 263
"103" "Valparaiso" "Chile" -33.0472 -71.6127 32293 1144 30623 526
"104" "Anhui" "China" 31.8257 117.2264 992 6 986 0
"105" "Beijing" "China" 40.1824 116.4142 950 9 937 4
"106" "Chongqing" "China" 30.0572 107.874 590 6 583 1
"107" "Fujian" "China" 26.0789 117.9874 487 1 442 44
"108" "Gansu" "China" 35.7518 104.2861 182 2 179 1
"109" "Guangdong" "China" 23.3417 113.4244 1988 8 1947 33
"110" "Guangxi" "China" 23.8298 108.7881 263 2 258 3
"111" "Guizhou" "China" 26.8154 106.8748 147 2 145 0
"112" "Hainan" "China" 19.1959 109.7453 171 6 165 0
"113" "Hebei" "China" 37.8957 114.9042 373 6 366 1
"114" "Heilongjiang" "China" 47.862 127.7615 949 13 936 0
"115" "Henan" "China" 33.882 113.614 1289 22 1261 6
"116" "Hong Kong" "China" 22.3 114.2 6123 109 5328 686
"117" "Hubei" "China" 30.9756 112.2707 68148 4512 63630 6
"118" "Hunan" "China" 27.6104 111.7088 1020 4 1016 0
"119" "Inner Mongolia" "China" 44.0935 113.9448 320 1 302 17
"120" "Jiangsu" "China" 32.9711 119.455 680 0 672 8
"121" "Jiangxi" "China" 27.614 115.7221 935 1 934 0
"122" "Jilin" "China" 43.6661 126.1923 157 2 155 0
"123" "Liaoning" "China" 41.2956 122.6085 289 2 286 1
"124" "Macau" "China" 22.1667 113.55 46 0 46 0
"125" "Ningxia" "China" 37.2692 106.1655 75 0 75 0
"126" "Qinghai" "China" 35.7452 95.9956 18 0 18 0
"127" "Shaanxi" "China" 35.1917 108.8701 498 3 463 32
"128" "Shandong" "China" 36.3427 118.1498 849 7 841 1
"129" "Shanghai" "China" 31.202 121.4491 1325 7 1266 52
"130" "Shanxi" "China" 37.5777 112.2922 220 0 217 3
"131" "Sichuan" "China" 30.6171 102.7103 803 3 760 40
"132" "Tianjin" "China" 39.3054 117.323 300 3 283 14
"133" "Tibet" "China" 31.6927 88.0924 1 0 1 0
"134" "Xinjiang" "China" 41.1129 85.2401 980 3 977 0
"135" "Yunnan" "China" 24.974 101.487 219 2 210 7
"136" "Zhejiang" "China" 29.1832 120.0934 1294 1 1283 10
"137" "Amazonas" "Colombia" -1.4429 -71.5724 3144 123 3007 14
"138" "Antioquia" "Colombia" 7.1986 -75.3412 211146 4013 197283 9850
