"Province_State" "Country_Region" "Confirmed" "Deaths" "Recovered" "Active"
"115" "Guangxi" "China" 264 2 261 1
"116" "Guizhou" "China" 147 2 145 0
"117" "Hainan" "China" 171 6 165 0
"118" "Hebei" "China" 640 6 367 267
"119" "Heilongjiang" "China" 971 13 949 9
"120" "Henan" "China" 1301 22 1273 6
"121" "Hong Kong" "China" 9242 158 8423 661
"122" "Hubei" "China" 68149 4512 63637 0
"123" "Hunan" "China" 1022 4 1017 1
"124" "Inner Mongolia" "China" 366 1 349 16
"125" "Jiangsu" "China" 687 0 684 3
"126" "Jiangxi" "China" 935 1 934 0
"127" "Jilin" "China" 157 2 155 0
"128" "Liaoning" "China" 393 2 314 77
"129" "Macau" "China" 46 0 46 0
"130" "Ningxia" "China" 75 0 75 0
"131" "Qinghai" "China" 18 0 18 0
"132" "Shaanxi" "China" 523 3 498 22
"133" "Shandong" "China" 864 7 852 5
"134" "Shanghai" "China" 1564 7 1457 100
"135" "Shanxi" "China" 226 0 224 2
"136" "Sichuan" "China" 857 3 835 19
"137" "Tianjin" "China" 322 3 303 16
"138" "Tibet" "China" 1 0 1 0
"139" "Xinjiang" "China" 980 3 977 0
"140" "Yunnan" "China" 231 2 219 10
"141" "Zhejiang" "China" 1308 1 1296 11
"142" "Amazonas" "Colombia" 3333 127 3172 34
"143" "Antioquia" "Colombia" 287473 5112 261307 21054
"144" "Arauca" "Colombia" 4761 137 4436 188
"145" "Atlantico" "Colombia" 99883 3550 92543 3790
"146" "Bolivar" "Colombia" 55628 1162 52637 1829
"147" "Boyaca" "Colombia" 32464 684 29002 2778
"148" "Caldas" "Colombia" 36021 704 32516 2801
"149" "Capital District" "Colombia" 518261 10564 459060 48637
"150" "Caqueta" "Colombia" 15450 550 14019 881
"151" "Casanare" "Colombia" 9549 191 8774 584
"152" "Cauca" "Colombia" 20286 522 18324 1440
"153" "Cesar" "Colombia" 34913 1016 31938 1959
"154" "Choco" "Colombia" 5107 169 4799 139
"155" "Cordoba" "Colombia" 30264 1683 27991 590
"156" "Cundinamarca" "Colombia" 74417 1854 68017 4546
"157" "Guainia" "Colombia" 1241 20 1211 10
"158" "Guaviare" "Colombia" 2027 37 1946 44
"159" "Huila" "Colombia" 37591 1189 34759 1643
"160" "La Guajira" "Colombia" 14599 558 13508 533
"161" "Magdalena" "Colombia" 26128 1109 23960 1059
"162" "Meta" "Colombia" 36024 778 33931 1315
"163" "Narino" "Colombia" 35902 1074 32264 2564
"164" "Norte de Santander" "Colombia" 43428 2198 39322 1908
"165" "Putumayo" "Colombia" 6306 255 5727 324
"166" "Quindio" "Colombia" 25810 715 23653 1442
"167" "Risaralda" "Colombia" 38235 849 34715 2671
"168" "San Andres y Providencia" "Colombia" 2503 42 2430 31
"169" "Santander" "Colombia" 72585 2542 65422 4621
"170" "Sucre" "Colombia" 17907 685 16688 534
"171" "Tolima" "Colombia" 49623 1419 45649 2555
"172" "Valle del Cauca" "Colombia" 146871 4591 135031 7249
"173" "Vaupes" "Colombia" 1142 13 1125 4
"174" "Vichada" "Colombia" 1168 15 1143 10
"175" "Comoros" "Comoros" 1150 18 860 272
"176" "Congo " "Congo " 7127 108 5846 1173
"177" "Congo (Kinshasa)" "Congo " 19436 611 14743 4082
"178" "Costa Rica" "Costa Rica" 177614 2305 136083 39226
"179" "Cote d Ivoire" "Cote d Ivoire" 23750 139 22570 1041
"180" "Croatia" "Croatia" 219993 4368 210126 5499
"181" "Cuba" "Cuba" 14576 151 11863 2562
"182" "Cyprus" "Cyprus" 27350 148 2057 25145
"183" "Czechia" "Czechia" 831165 13115 657504 160546
"184" "Faroe Islands" "Denmark" 646 1 607 38
"185" "Greenland" "Denmark" 29 0 28 1
"186" "Denmark" "Denmark" 181486 1570 153565 26351
"187" "Diamond Princess" "Diamond Princess" 712 13 699 0
"188" "Djibouti" "Djibouti" 5871 61 5780 30
"189" "Dominica" "Dominica" 106 0 98 8
