"name","points","speed","dist","dist_points","note_points","id","round","wind_comp","gate_points"
"104518","johansson robert",208.9,104.8,228.5,154.2,56,"2021JP3002RL","2nd round",-1.3,0
"104519","johansson robert",211.5,104.9,228,153.6,56,"2021JP3002RL","3rd round",1.9,0
"104520","johansson robert",218.1,104.9,232,158.4,55.5,"2021JP3002RL","final round",4.2,0
"104521","sato yukiya",203.3,103.7,222,146.4,55,"2021JP3002RL","1st round",1.9,0
"104522","sato yukiya",205.6,104,229,154.8,54,"2021JP3002RL","2nd round",-3.2,0
"104523","sato yukiya",212.6,104,228,153.6,55.5,"2021JP3002RL","3rd round",3.5,0
"104524","sato yukiya",213.6,103.9,229,154.8,55.5,"2021JP3002RL","final round",3.3,0
"104525","zyla piotr",202.1,104.2,221.5,145.8,54,"2021JP3002RL","1st round",2.3,0
"104526","zyla piotr",206.4,104.5,224.5,149.4,54,"2021JP3002RL","2nd round",3,0
"104527","zyla piotr",211.2,104.5,227,152.4,55.5,"2021JP3002RL","3rd round",3.3,0
"104528","zyla piotr",208.9,104.4,224.5,149.4,55.5,"2021JP3002RL","final round",4,0
"104529","stoch kamil",187.5,103.5,213,135.6,53.5,"2021JP3002RL","1st round",-1.6,0
"104530","stoch kamil",211.5,104.2,229,154.8,56.5,"2021JP3002RL","2nd round",0.2,0
"104531","stoch kamil",205.7,103.9,223,147.6,55.5,"2021JP3002RL","3rd round",2.6,0
"104532","stoch kamil",203.8,104.1,222.5,147,54.5,"2021JP3002RL","final round",2.3,0
"104533","klimov evgeniy",213.8,103.9,237,164.4,55,"2021JP3002RL","1st round",-5.6,0
"104534","klimov evgeniy",183.2,103.7,208,129.6,50.5,"2021JP3002RL","2nd round",3.1,0
"104535","klimov evgeniy",203.9,104.1,222.5,147,55.5,"2021JP3002RL","3rd round",1.4,0
"104536","klimov evgeniy",201.3,104,220,144,54,"2021JP3002RL","final round",3.3,0
"104537","stekala andrzej",201.9,104.5,224.5,149.4,54.5,"2021JP3002RL","1st round",-2,0
"104538","stekala andrzej",194.6,104.7,215.5,138.6,53,"2021JP3002RL","2nd round",3,0
"104539","stekala andrzej",205.3,104.5,224.5,149.4,56,"2021JP3002RL","3rd round",-0.1,0
"104540","stekala andrzej",190.6,104.5,212,134.4,52.5,"2021JP3002RL","final round",3.7,0
"104541","paschke pius",193.2,104.3,212.5,135,54,"2021JP3002RL","1st round",4.2,0
"104542","paschke pius",202.5,104.4,224.5,149.4,55.5,"2021JP3002RL","2nd round",-2.4,0
"104543","paschke pius",198.9,104.4,217,140.4,54,"2021JP3002RL","3rd round",4.5,0
"104544","paschke pius",196.3,104.2,213.5,136.2,53,"2021JP3002RL","final round",7.1,0
"104545","lanisek anze",172.5,104.1,196,115.2,49.5,"2021JP3002RL","1st round",7.8,0
"104546","lanisek anze",196.4,104.5,218.5,142.2,54,"2021JP3002RL","2nd round",0.2,0
"104547","lanisek anze",196.8,105,215.5,138.6,54,"2021JP3002RL","3rd round",4.2,0
"104548","lanisek anze",211.5,104.8,228,153.6,55.5,"2021JP3002RL","final round",2.4,0
"104549","tande daniel andre",176.5,105,203,123.6,51,"2021JP3002RL","1st round",1.9,0
"104550","tande daniel andre",195.8,104.8,218.5,142.2,55,"2021JP3002RL","2nd round",-1.4,0
"104551","tande daniel andre",205.9,105.2,224,148.8,54.5,"2021JP3002RL","3rd round",2.6,0
"104552","tande daniel andre",198.9,105,218,141.6,54,"2021JP3002RL","final round",3.3,0
"104553","schmid constantin",193.6,104.8,216.5,139.8,54.5,"2021JP3002RL","1st round",-0.7,0
"104554","schmid constantin",195.8,104.9,219.5,143.4,55,"2021JP3002RL","2nd round",-2.6,0
"104555","schmid constantin",185.3,105.1,209,130.8,50.5,"2021JP3002RL","3rd round",4,0
"104556","schmid constantin",193,104.9,213.5,136.2,54,"2021JP3002RL","final round",2.8,0
"104557","kubacki dawid",198.5,104.5,219,142.8,54.5,"2021JP3002RL","1st round",1.2,0
"104558","kubacki dawid",196.3,104.6,215.5,138.6,53.5,"2021JP3002RL","2nd round",4.2,0
"104559","kubacki dawid",190.9,104.8,211,133.2,54,"2021JP3002RL","3rd round",3.7,0
"104560","kubacki dawid",168.7,104.7,196,115.2,49.5,"2021JP3002RL","final round",4,0
"104561","aalto antti",183.9,104.3,205,126,51.5,"2021JP3002RL","1st round",6.4,0
"104562","aalto antti",187.4,104.5,208.5,130.2,52.5,"2021JP3002RL","2nd round",4.7,0
"104563","aalto antti",186.2,104.5,208.5,130.2,52.5,"2021JP3002RL","3rd round",3.5,0
"104564","aalto antti",182.4,104.4,207.5,129,52.5,"2021JP3002RL","final round",0.9,0
"104565","sato keiichi",178.4,104,205,126,50,"2021JP3002RL","1st round",2.4,0
"104566","sato keiichi",193.2,104,217.5,141,52.5,"2021JP3002RL","2nd round",-0.3,0
"104567","sato keiichi",171.4,103.9,197.5,117,49.5,"2021JP3002RL","3rd round",4.9,0
"104568","sato keiichi",180.1,103.8,206,127.2,51,"2021JP3002RL","final round",1.9,0
"104569","aschenwald philipp",174,104.9,201.5,121.8,51,"2021JP3002RL","1st round",1.2,0
"104570","aschenwald philipp",192.7,105,218,141.6,54,"2021JP3002RL","2nd round",-2.9,0
"104571","aschenwald philipp",176,105.2,200.5,120.6,50.5,"2021JP3002RL","3rd round",4.9,0
"104572","aschenwald philipp",177,105.1,203,123.6,51,"2021JP3002RL","final round",2.4,0
"104573","kobayashi ryoyu",172.6,104.1,203,123.6,51,"2021JP3002RL","1st round",-2,0
"104574","kobayashi ryoyu",187,104.4,212.5,135,53,"2021JP3002RL","2nd round",-1,0
"104575","kobayashi ryoyu",176.6,104.4,202,122.4,50.5,"2021JP3002RL","3rd round",3.7,0
"104576","kobayashi ryoyu",180.5,104.3,205,126,51,"2021JP3002RL","final round",3.5,0
"104577","pavlovcic bor",185.8,104.8,207,128.4,51.5,"2021JP3002RL","1st round",5.9,0
"104578","pavlovcic bor",171.6,105,198,117.6,49.5,"2021JP3002RL","2nd round",4.5,0
"104579","pavlovcic bor",180.1,104.8,203.5,124.2,51,"2021JP3002RL","3rd round",4.9,0
"104580","pavlovcic bor",178,104.9,203.5,124.2,51,"2021JP3002RL","final round",2.8,0
"104581","prevc domen",176.8,104.1,206,127.2,52,"2021JP3002RL","1st round",-2.4,0
"104582","prevc domen",177,104.1,206.5,127.8,51.5,"2021JP3002RL","2nd round",-2.3,0
"104583","prevc domen",176.5,104.2,201.5,121.8,50,"2021JP3002RL","3rd round",4.7,0
"104584","prevc domen",182.4,104.3,207.5,129,52,"2021JP3002RL","final round",1.4,0
"104585","forfang johann andre",169.8,103.9,202.5,123,49.5,"2021JP3002RL","1st round",-2.7,0
"104586","forfang johann andre",186.8,103.8,213,135.6,53.5,"2021JP3002RL","2nd round",-2.3,0
"104587","forfang johann andre",174.7,103.9,200,120,51,"2021JP3002RL","3rd round",3.7,0
"104588","forfang johann andre",179.1,103.9,205,126,51,"2021JP3002RL","final round",2.1,0
"104589","boyd-clowes mackenzie",167.9,104.4,200,120,50.5,"2021JP3002RL","1st round",-2.6,0
"104590","boyd-clowes mackenzie",182.6,104.2,212,134.4,52.5,"2021JP3002RL","2nd round",-4.3,0
"104591","boyd-clowes mackenzie",184.1,105,206,127.2,51,"2021JP3002RL","3rd round",5.9,0
"104592","boyd-clowes mackenzie",175.5,104.7,203,123.6,51,"2021JP3002RL","final round",0.9,0
"104593","bresadola giovanni",176.7,104,199.5,119.4,51,"2021JP3002RL","1st round",6.3,0
"104594","bresadola giovanni",171.2,104.2,202,122.4,51,"2021JP3002RL","2nd round",-2.2,0
"104595","bresadola giovanni",168.4,104.3,192,110.4,49.5,"2021JP3002RL","3rd round",8.5,0
"104596","bresadola giovanni",173.2,104.2,201,121.2,51,"2021JP3002RL","final round",1,0
"104597","aigro artti",166.5,103.5,200.5,120.6,49.5,"2021JP3002RL","1st round",-3.6,0
"104598","aigro artti",164.3,103.4,196.5,115.8,49.5,"2021JP3002RL","2nd round",-1,0
"104599","aigro artti",176.4,103.7,197.5,117,49.5,"2021JP3002RL","3rd round",9.9,0
"104600","aigro artti",180.1,103.5,207,128.4,50,"2021JP3002RL","final round",1.7,0
"104601","schlierenzauer gregor",172,104.9,193,111.6,51,"2021JP3002RL","1st round",9.4,0
"104602","schlierenzauer gregor",170.5,104.7,199.5,119.4,52,"2021JP3002RL","2nd round",-0.9,0
