"name","points","speed","dist","dist_points","note_points","id","round","wind_comp","gate_points"
"106208","freund severin",67.7,85.2,106,34.8,45,"2021JP3042RLQ","qualification",-12.1,0
"106209","hula stefan",66.8,84.9,104,31.2,47,"2021JP3042RLQ","qualification",-11.4,0
"106210","kobayashi junshiro",66.4,84.9,100.5,24.9,45,"2021JP3042RLQ","qualification",-3.5,0
"106211","nakamura naoki",63.1,85.2,94,13.2,44.5,"2021JP3042RLQ","qualification",5.4,0
"106212","wellinger andreas",58.4,85.6,96.5,17.7,47.5,"2021JP3042RLQ","qualification",-6.8,0
"106213","ammann simon",57.5,85.3,97.5,19.5,47,"2021JP3042RLQ","qualification",-9,0
"106214","hauswirth sandro",57.1,85.7,91,7.8,43.5,"2021JP3042RLQ","qualification",5.8,0
"106215","hazetdinov ilmir",54.4,85.3,93.5,12.3,44.5,"2021JP3042RLQ","qualification",-2.4,0
"106216","mankov ilya",50.7,84.9,92,9.6,43.5,"2021JP3042RLQ","qualification",-2.4,0
"106217","sato keiichi",48,85.1,87,0.6,42.5,"2021JP3042RLQ","qualification",4.9,0
"106218","matavin nikolai",42.5,84.6,93.5,12.3,44,"2021JP3042RLQ","qualification",-13.8,0
"106219","shishkin vadim",41.4,84.7,87,0.6,43,"2021JP3042RLQ","qualification",-2.2,0
"106220","granerud halvor egner",133.3,85.5,132.5,82.5,55.5,"2021JP3043RL","1st round",-9.8,5.1
"106221","granerud halvor egner",136.7,85.6,132,81.6,55.5,"2021JP3043RL","final round",-0.4,0
"106222","huber daniel",130.5,85.5,131,79.8,55,"2021JP3043RL","1st round",-9.4,5.1
"106223","huber daniel",125.2,85.5,133,83.4,53.5,"2021JP3043RL","final round",-11.7,0
"106224","johansson robert",108.9,85.6,120.5,60.9,52,"2021JP3043RL","1st round",-9.1,5.1
"106225","johansson robert",145.2,86,142.5,100.5,58,"2021JP3043RL","final round",-13.3,0
"106226","lackner thomas",122.2,86.2,128.5,75.3,54,"2021JP3043RL","1st round",-7.1,0
"106227","lackner thomas",127.1,86,131,79.8,53.5,"2021JP3043RL","final round",-6.2,0
"106228","paschke pius",122.2,85.3,128,74.4,54,"2021JP3043RL","1st round",-11.3,5.1
"106229","paschke pius",119.4,85,126.5,71.7,53,"2021JP3043RL","final round",-5.3,0
"106230","zniszczol aleksander",125.9,85.6,131,79.8,55,"2021JP3043RL","1st round",-8.9,0
"106231","zniszczol aleksander",104.7,85.3,122,63.6,51.5,"2021JP3043RL","final round",-10.4,0
"106232","klimov evgeniy",123.8,85.9,132,81.6,54.5,"2021JP3043RL","1st round",-12.3,0
"106233","klimov evgeniy",106.7,85.2,120.5,60.9,51.5,"2021JP3043RL","final round",-5.7,0
"106234","sato yukiya",122.7,84.8,127.5,73.5,53.5,"2021JP3043RL","1st round",-9.4,5.1
"106235","sato yukiya",107.5,84.9,124,67.2,52.5,"2021JP3043RL","final round",-12.2,0
"106236","lanisek anze",116.7,85.2,125,69,54,"2021JP3043RL","1st round",-11.4,5.1
"106237","lanisek anze",110.6,85.3,123,65.4,52,"2021JP3043RL","final round",-6.8,0
"106238","schiffner markus",117,85.7,124,67.2,52.5,"2021JP3043RL","1st round",-7.8,5.1
"106239","schiffner markus",106.9,85.9,123,65.4,52,"2021JP3043RL","final round",-10.5,0
"106240","hamann martin",112.4,85.4,123.5,66.3,52.5,"2021JP3043RL","1st round",-11.5,5.1
"106241","hamann martin",111.1,85.4,123.5,66.3,52.5,"2021JP3043RL","final round",-7.7,0
"106242","kobayashi ryoyu",114.5,85.4,122,63.6,52.5,"2021JP3043RL","1st round",-6.7,5.1
"106243","kobayashi ryoyu",108.6,85.3,122,63.6,51,"2021JP3043RL","final round",-6,0
"106244","pavlovcic bor",108.2,85.6,119,58.2,51,"2021JP3043RL","1st round",-6.1,5.1
"106245","pavlovcic bor",114.7,85.7,129,76.2,52.5,"2021JP3043RL","final round",-14,0
"106246","sato keiichi",115.5,84.6,126,70.8,52.5,"2021JP3043RL","1st round",-12.9,5.1
"106247","sato keiichi",107,84.8,116,52.8,51,"2021JP3043RL","final round",3.2,0
"106248","wolny jakub",119.1,85.7,133,83.4,55,"2021JP3043RL","1st round",-19.3,0
"106249","wolny jakub",102.6,84.9,122,63.6,52.5,"2021JP3043RL","final round",-13.5,0
"106250","peter dominik",113.2,86,125.5,69.9,53.5,"2021JP3043RL","1st round",-10.2,0
"106251","peter dominik",106,85.8,122.5,64.5,52.5,"2021JP3043RL","final round",-11,0
"106252","deschwanden gregor",109.9,85.8,122,63.6,51,"2021JP3043RL","1st round",-9.8,5.1
"106253","deschwanden gregor",108.1,85.6,123.5,66.3,52.5,"2021JP3043RL","final round",-10.7,0
"106254","tande daniel andre",119.9,85.6,125.5,69.9,52.5,"2021JP3043RL","1st round",-7.6,5.1
"106255","tande daniel andre",97,85.9,116,52.8,49.5,"2021JP3043RL","final round",-5.3,0
"106256","eriksen sander vossan",104.9,85.3,121,61.8,51,"2021JP3043RL","1st round",-13,5.1
"106257","eriksen sander vossan",108.6,85.3,124,67.2,51,"2021JP3043RL","final round",-9.6,0
"106258","forfang johann andre",109.4,85.3,121,61.8,51,"2021JP3043RL","1st round",-8.5,5.1
"106259","forfang johann andre",103.3,85.2,119.5,59.1,53,"2021JP3043RL","final round",-8.8,0
"106260","nazarov mikhail",107,85.5,121.5,62.7,51.5,"2021JP3043RL","1st round",-7.2,0
"106261","nazarov mikhail",105.1,85.4,121.5,62.7,51.5,"2021JP3043RL","final round",-9.1,0
"106262","zajc timi",121.2,85.5,128.5,75.3,54,"2021JP3043RL","1st round",-8.1,0
"106263","zajc timi",90.5,85.4,111,43.8,49.5,"2021JP3043RL","final round",-2.8,0
"106264","steiner maximilian",113.3,85.2,128.5,75.3,54,"2021JP3043RL","1st round",-16,0
"106265","steiner maximilian",88.7,84.9,114,49.2,51,"2021JP3043RL","final round",-11.5,0
"106266","jelar ziga",110.8,85.1,122,63.6,52.5,"2021JP3043RL","1st round",-10.4,5.1
"106267","jelar ziga",90.6,85.5,115.5,51.9,51,"2021JP3043RL","final round",-12.3,0
"106268","kot maciej",114.5,85.5,123.5,66.3,52.5,"2021JP3043RL","1st round",-9.4,5.1
"106269","kot maciej",83.8,85.6,111,43.8,49.5,"2021JP3043RL","final round",-9.5,0
"106270","lindvik marius",112.1,85.5,125,69,54,"2021JP3043RL","1st round",-10.9,0
"106271","lindvik marius",86,85.4,114,49.2,48,"2021JP3043RL","final round",-11.2,0
"106272","trofimov roman sergeevich",107.7,85.6,125.5,69.9,52.5,"2021JP3043RL","1st round",-14.7,0
"106273","trofimov roman sergeevich",90.1,84.9,115.5,51.9,51,"2021JP3043RL","final round",-12.8,0
"106274","eisenbichler markus",144.4,85.4,136.5,89.7,56,"2021JP3043RL","1st round",-6.4,5.1
"106275","eisenbichler markus",39.2,85.8,80,-12,41.5,"2021JP3043RL","final round",9.7,0
"106276","nakamura naoki",106.9,84.9,120.5,60.9,51,"2021JP3043RL","1st round",-10.1,5.1
"106277","nakamura naoki",69.3,85.1,104.5,32.1,48,"2021JP3043RL","final round",-10.8,0
"106278","pilch tomasz",110.5,85.3,124,67.2,52.5,"2021JP3043RL","1st round",-9.2,0
"106279","pilch tomasz",54.3,84.7,96.5,17.7,44,"2021JP3043RL","final round",-7.4,0
"106280","ito daiki",104.7,85.1,117.5,55.5,51.5,"2021JP3043RL","1st round",-7.4,5.1
"106281","wasek pawel",104.3,85.1,121,61.8,51,"2021JP3043RL","1st round",-13.6,5.1
"106282","fettner manuel",103.6,85.9,118.5,57.3,51,"2021JP3043RL","1st round",-4.7,0
"106283","semenic anze",103,86.1,123.5,66.3,51,"2021JP3043RL","1st round",-14.3,0
"106284","ammann simon",102.7,86.1,119.5,59.1,51,"2021JP3043RL","1st round",-7.4,0
"106285","kobayashi junshiro",101,85.3,116.5,53.7,52,"2021JP3043RL","1st round",-9.8,5.1
"106286","prevc peter",101,85.3,116,52.8,49.5,"2021JP3043RL","1st round",-6.4,5.1
"106287","schmid constantin",100.4,85.7,117.5,55.5,51,"2021JP3043RL","1st round",-11.2,5.1
"106288","freund severin",99.5,85.3,118,56.4,51,"2021JP3043RL","1st round",-13,5.1
"106289","wellinger andreas",96.4,85.8,118,56.4,51,"2021JP3043RL","1st round",-11,0
"106290","hula stefan",91.9,85.2,117,54.6,49.5,"2021JP3043RL","1st round",-12.2,0
"106291","haare anders",86.7,85.5,110,42,49.5,"2021JP3043RL","1st round",-9.9,5.1
"106292","kornilov denis",77.5,85.1,110,42,48,"2021JP3043RL","1st round",-12.5,0
"106293","hauswirth sandro",77.2,85.6,106,34.8,49,"2021JP3043RL","1st round",-6.6,0
"106294","matavin nikolai",65.1,84.8,102,27.6,47.5,"2021JP3043RL","1st round",-10,0
"106295","shishkin vadim",52.8,85.5,95,15,47,"2021JP3043RL","1st round",-9.2,0
"106296","hazetdinov ilmir",47.1,85.6,94,13.2,46,"2021JP3043RL","1st round",-12.1,0
"106297","sato yukiya",153,92.2,137,81.6,55.5,"2021JP3045RLQ","qualification",15.9,0
"106298","zyla piotr",152.4,92.6,132.5,73.5,55.5,"2021JP3045RLQ","qualification",23.4,0
"106299","granerud halvor egner",149,92.5,139,85.2,49.5,"2021JP3045RLQ","qualification",14.3,0
"106300","eisenbichler markus",147,92.8,134,76.2,53,"2021JP3045RLQ","qualification",17.8,0
"106301","huber daniel",146.7,92.8,132,72.6,55,"2021JP3045RLQ","qualification",19.1,0
"106302","prevc cene",143.1,92.6,130.5,69.9,54,"2021JP3045RLQ","qualification",19.2,0
"106303","stoch kamil",142.7,92.5,129,67.2,56,"2021JP3045RLQ","qualification",19.5,0
"106304","kobayashi ryoyu",142.5,92.6,132.5,73.5,53.5,"2021JP3045RLQ","qualification",15.5,0
"106305","lindvik marius",140.5,92.4,133,74.4,54,"2021JP3045RLQ","qualification",12.1,0
"106306","kubacki dawid",140.3,92.9,131,70.8,54,"2021JP3045RLQ","qualification",15.5,0
"106307","lanisek anze",137,92.6,125.5,60.9,53.5,"2021JP3045RLQ","qualification",22.6,0
"106308","nakamura naoki",134.2,92.4,129.5,68.1,54,"2021JP3045RLQ","qualification",12.1,0
"106309","schmid constantin",133.8,92.9,128.5,66.3,54,"2021JP3045RLQ","qualification",13.5,0
"106310","stekala andrzej",132.8,92.5,127,63.6,53.5,"2021JP3045RLQ","qualification",15.7,0
"106311","kobayashi junshiro",132.5,92.6,127.5,64.5,53.5,"2021JP3045RLQ","qualification",14.5,0
"106312","paschke pius",129.1,92.3,125.5,60.9,52.5,"2021JP3045RLQ","qualification",15.7,0
"106313","pavlovcic bor",128.8,93,120.5,51.9,51,"2021JP3045RLQ","qualification",25.9,0
"106314","schlierenzauer gregor",127.6,92.6,124,58.2,52.5,"2021JP3045RLQ","qualification",16.9,0
"106315","aalto antti",127.5,92.3,124.5,59.1,52.5,"2021JP3045RLQ","qualification",15.9,0
"106316","peter dominik",127.3,92.6,125,60,53,"2021JP3045RLQ","qualification",14.3,0
"106317","nazarov mikhail",126.8,92.4,122,54.6,51,"2021JP3045RLQ","qualification",21.2,0
"106318","deschwanden gregor",126.2,92.8,122.5,55.5,52.5,"2021JP3045RLQ","qualification",18.2,0
"106319","lackner thomas",125.8,92.8,122,54.6,51,"2021JP3045RLQ","qualification",20.2,0
"106320","boyd-clowes mackenzie",125.3,92.3,121,52.8,52,"2021JP3045RLQ","qualification",20.5,0
"106321","polasek viktor",123.2,92.2,116.5,44.7,51,"2021JP3045RLQ","qualification",27.5,0
"106322","muranka klemens",123,92.1,123,56.4,50,"2021JP3045RLQ","qualification",16.6,0
"106323","prevc peter",122.4,92.6,121.5,53.7,51,"2021JP3045RLQ","qualification",17.7,0
"106324","aschenwald philipp",121.5,92.5,118.5,48.3,51,"2021JP3045RLQ","qualification",22.2,0
"106325","hayboeck michael",120.5,92.9,120,51,48.5,"2021JP3045RLQ","qualification",21,0
"106326","kytosaho niko",120.5,92.3,118,47.4,49.5,"2021JP3045RLQ","qualification",23.6,0
"106327","tande daniel andre",119,92.3,119.5,50.1,52,"2021JP3045RLQ","qualification",16.9,0
"106328","johansson robert",118.8,92.6,120.5,51.9,51.5,"2021JP3045RLQ","qualification",15.4,0
"106329","bartol tilen",117.5,92.5,118.5,48.3,51.5,"2021JP3045RLQ","qualification",17.7,0
"106330","zniszczol aleksander",117.1,92.4,116.5,44.7,49.5,"2021JP3045RLQ","qualification",22.9,0
"106331","hamann martin",114.6,92.4,119,49.2,48,"2021JP3045RLQ","qualification",17.4,0
"106332","aigro artti",114.5,92.4,115.5,42.9,49.5,"2021JP3045RLQ","qualification",22.1,0
"106333","prevc domen",114.2,92.9,109,31.2,50,"2021JP3045RLQ","qualification",33,0
"106334","sato keiichi",113.1,92.5,115.5,42.9,51,"2021JP3045RLQ","qualification",19.2,0
"106335","fettner manuel",112.3,92.6,113.5,39.3,47,"2021JP3045RLQ","qualification",26,0
"106336","eriksen sander vossan",112.2,92.4,114,40.2,49.5,"2021JP3045RLQ","qualification",22.5,0
"106337","trofimov roman sergeevich",111.4,92,118,47.4,50,"2021JP3045RLQ","qualification",14,0
"106338","soukup matthew",110.4,93,109,31.2,49.5,"2021JP3045RLQ","qualification",29.7,0
"106339","siegel david",110.2,92.6,114,40.2,50,"2021JP3045RLQ","qualification",20,0
"106340","klimov evgeniy",110,92.5,114.5,41.1,50.5,"2021JP3045RLQ","qualification",18.4,0
"106341","bresadola giovanni",109.5,92.3,113,38.4,49.5,"2021JP3045RLQ","qualification",21.6,0
"106342","ammann simon",109.5,92.3,112,36.6,50,"2021JP3045RLQ","qualification",22.9,0
"106343","forfang johann andre",108.8,92.6,114,40.2,49.5,"2021JP3045RLQ","qualification",19.1,0
"106344","ito daiki",106.1,92.2,113.5,39.3,51,"2021JP3045RLQ","qualification",15.8,0
"106345","larson casey",105.7,92.7,111,34.8,45.5,"2021JP3045RLQ","qualification",25.4,0
"106346","justin rok",105.4,92.6,112,36.6,50,"2021JP3045RLQ","qualification",18.8,0
"106347","insam alex",104.3,92.1,111,34.8,50,"2021JP3045RLQ","qualification",19.5,0
"106348","koudelka roman",104.2,92.5,107.5,28.5,49.5,"2021JP3045RLQ","qualification",26.2,0
"106349","schuler andreas",103,92.5,110.5,33.9,49.5,"2021JP3045RLQ","qualification",19.6,0
"106350","freund severin",100.4,92.5,109,31.2,49,"2021JP3045RLQ","qualification",20.2,0
"106351","wellinger andreas",98.9,92.8,108,29.4,48,"2021JP3045RLQ","qualification",21.5,0
"106352","contamine mathis",97.4,91.9,108,29.4,49,"2021JP3045RLQ","qualification",19,0
"106353","kozisek cestmir",94.7,92.1,103.5,21.3,47.5,"2021JP3045RLQ","qualification",25.9,0
"106354","granerud halvor egner",153.1,93.1,141.5,89.7,51,"2021JP3046RL","1st round",12.4,0
"106355","granerud halvor egner",152.3,93,135.5,78.9,56,"2021JP3046RL","final round",17.4,0
"106356","eisenbichler markus",149.5,93.2,134,76.2,55.5,"2021JP3046RL","1st round",17.8,0
"106357","eisenbichler markus",154.2,93.2,137.5,82.5,55.5,"2021JP3046RL","final round",16.2,0
"106358","zyla piotr",156,93.2,132.5,73.5,57,"2021JP3046RL","1st round",25.5,0
"106359","zyla piotr",140.2,93.1,127.5,64.5,54,"2021JP3046RL","final round",21.7,0
"106360","lanisek anze",151,92.9,132,72.6,55.5,"2021JP3046RL","1st round",22.9,0
"106361","lanisek anze",144.6,92.8,131,70.8,55.5,"2021JP3046RL","final round",18.3,0
"106362","paschke pius",145.1,92.8,131,70.8,56,"2021JP3046RL","1st round",18.3,0
"106363","paschke pius",149,93.2,133,74.4,55.5,"2021JP3046RL","final round",19.1,0
"106364","boyd-clowes mackenzie",146.9,93.7,132.5,73.5,55.5,"2021JP3046RL","1st round",23,-5.1
"106365","boyd-clowes mackenzie",146.9,93.3,135,78,56,"2021JP3046RL","final round",12.9,0
"106366","stoch kamil",152.4,93.1,137,81.6,58.5,"2021JP3046RL","1st round",17.4,-5.1
"106367","stoch kamil",141,92.8,127.5,64.5,55,"2021JP3046RL","final round",21.5,0
"106368","kubacki dawid",149,93.5,130.5,69.9,54,"2021JP3046RL","1st round",25.1,0
"106369","kubacki dawid",136.6,93.3,128,65.4,54,"2021JP3046RL","final round",17.2,0
"106370","sato yukiya",154.5,93,135.5,78.9,55.5,"2021JP3046RL","1st round",20.1,0
"106371","sato yukiya",130.3,93,121.5,53.7,52.5,"2021JP3046RL","final round",24.1,0
"106372","prevc cene",139.7,93.1,127,63.6,54,"2021JP3046RL","1st round",22.1,0
"106373","prevc cene",142.9,93.2,128,65.4,55,"2021JP3046RL","final round",22.5,0
"106374","johansson robert",139.3,93.1,126.5,62.7,54,"2021JP3046RL","1st round",22.6,0
"106375","johansson robert",139.7,93.1,125.5,60.9,51.5,"2021JP3046RL","final round",27.3,0
"106376","hayboeck michael",133.7,93.7,129.5,68.1,54.5,"2021JP3046RL","1st round",16.2,-5.1
"106377","hayboeck michael",141.9,93.1,124,58.2,53.5,"2021JP3046RL","final round",30.2,0
"106378","huber daniel",152.8,93.8,139.5,86.1,57.5,"2021JP3046RL","1st round",14.3,-5.1
"106379","huber daniel",122.4,93.4,121,52.8,52.5,"2021JP3046RL","final round",17.1,0
"106380","lindvik marius",133.3,93.3,126,61.8,52.5,"2021JP3046RL","1st round",24.1,-5.1
"106381","lindvik marius",141.6,92.7,125.5,60.9,54,"2021JP3046RL","final round",26.7,0
"106382","stekala andrzej",137.1,93.6,126.5,62.7,54,"2021JP3046RL","1st round",25.5,-5.1
"106383","stekala andrzej",137.6,93.1,123.5,57.3,52.5,"2021JP3046RL","final round",27.8,0
"106384","kobayashi ryoyu",130.5,93.6,126,61.8,53.5,"2021JP3046RL","1st round",20.3,-5.1
"106385","kobayashi ryoyu",141.5,93,131,70.8,55.5,"2021JP3046RL","final round",15.2,0
"106386","prevc domen",131.4,93.3,122,54.6,52.5,"2021JP3046RL","1st round",24.3,0
"106387","prevc domen",139.7,93.1,128,65.4,55,"2021JP3046RL","final round",19.3,0
"106388","kytosaho niko",131.2,92.9,125,60,52.5,"2021JP3046RL","1st round",18.7,0
"106389","kytosaho niko",139.7,92.9,131.5,71.7,52,"2021JP3046RL","final round",16,0
"106390","tande daniel andre",130,93.5,121.5,53.7,51.5,"2021JP3046RL","1st round",29.9,-5.1
"106391","tande daniel andre",139,93,129.5,68.1,53.5,"2021JP3046RL","final round",17.4,0
"106392","forfang johann andre",126.9,93.4,124,58.2,54,"2021JP3046RL","1st round",19.8,-5.1
"106393","forfang johann andre",142,93,130.5,69.9,55.5,"2021JP3046RL","final round",16.6,0
"106394","hamann martin",129.4,93.5,125.5,60.9,50.5,"2021JP3046RL","1st round",23.1,-5.1
"106395","hamann martin",133.6,92.8,128,65.4,49.5,"2021JP3046RL","final round",18.7,0
"106396","muranka klemens",131.7,93.3,127.5,64.5,53.5,"2021JP3046RL","1st round",18.8,-5.1
"106397","muranka klemens",131,92.8,123,56.4,52.5,"2021JP3046RL","final round",22.1,0
"106398","aalto antti",129.6,93.5,124.5,59.1,53,"2021JP3046RL","1st round",22.6,-5.1
"106399","aalto antti",130.5,92.8,124,58.2,52.5,"2021JP3046RL","final round",19.8,0
"106400","schlierenzauer gregor",126.9,93.4,123,56.4,50.5,"2021JP3046RL","1st round",20,0
"106401","schlierenzauer gregor",132.7,93.5,124,58.2,53,"2021JP3046RL","final round",21.5,0
"106402","deschwanden gregor",125.8,93.7,122,54.6,52,"2021JP3046RL","1st round",24.3,-5.1
"106403","deschwanden gregor",133.2,93.1,125.5,60.9,52.5,"2021JP3046RL","final round",19.8,0
"106404","fettner manuel",122.6,93.3,121,52.8,51,"2021JP3046RL","1st round",18.8,0
"106405","fettner manuel",129.6,93.2,125,60,52.5,"2021JP3046RL","final round",17.1,0
"106406","polasek viktor",127.9,92.2,120.5,51.9,52,"2021JP3046RL","1st round",24,0
"106407","polasek viktor",124.1,92.3,122,54.6,49.5,"2021JP3046RL","final round",20,0
"106408","aigro artti",122.4,93.1,122.5,55.5,51.5,"2021JP3046RL","1st round",20.5,-5.1
"106409","aigro artti",122.1,92.6,121,52.8,50.5,"2021JP3046RL","final round",18.8,0
"106410","kozisek cestmir",123.5,92.9,121.5,53.7,51.5,"2021JP3046RL","1st round",18.3,0
"106411","kozisek cestmir",112.6,92.6,114,40.2,49,"2021JP3046RL","final round",23.4,0
"106412","soukup matthew",124.2,93.1,123,56.4,52.5,"2021JP3046RL","1st round",15.3,0
"106413","soukup matthew",103.1,93.1,110,33,49.5,"2021JP3046RL","final round",20.6,0
"106414","nakamura naoki",122.3,93.5,116.5,44.7,51,"2021JP3046RL","1st round",31.7,-5.1
"106415","wellinger andreas",120.5,93.6,117,45.6,51.5,"2021JP3046RL","1st round",23.4,0
"106416","prevc peter",120.3,93.7,117.5,46.5,51.5,"2021JP3046RL","1st round",27.4,-5.1
"106417","siegel david",119.7,93.1,121,52.8,50.5,"2021JP3046RL","1st round",16.4,0
"106418","pavlovcic bor",119.4,93.9,120.5,51.9,52.5,"2021JP3046RL","1st round",20.1,-5.1
"106419","klimov evgeniy",119.2,93.3,120.5,51.9,46.5,"2021JP3046RL","1st round",25.9,-5.1
"106420","kobayashi junshiro",118.2,93.5,117.5,46.5,50.5,"2021JP3046RL","1st round",26.3,-5.1
"106421","aschenwald philipp",117.3,93.8,118.5,48.3,51,"2021JP3046RL","1st round",23.1,-5.1
"106422","freund severin",114.3,93.6,113.5,39.3,51.5,"2021JP3046RL","1st round",28.6,-5.1
"106423","justin rok",114.1,93.4,115.5,42.9,50,"2021JP3046RL","1st round",21.2,0
"106424","schmid constantin",113.7,93.9,116,43.8,51,"2021JP3046RL","1st round",24,-5.1
"106425","sadreev danil",111.5,92.7,113,38.4,49,"2021JP3046RL","1st round",24.1,0
"106426","bartol tilen",110.1,93.5,109.5,32.1,47,"2021JP3046RL","1st round",36.1,-5.1
"106427","peter dominik",107.7,93.5,110.5,33.9,50,"2021JP3046RL","1st round",28.9,-5.1
"106428","ito daiki",107.2,93.5,110,33,49.5,"2021JP3046RL","1st round",29.8,-5.1
"106429","sato keiichi",106,93.3,113,38.4,51,"2021JP3046RL","1st round",21.7,-5.1
"106430","eriksen sander vossan",105.5,93.3,111,34.8,49,"2021JP3046RL","1st round",26.8,-5.1
"106431","zniszczol aleksander",104.3,93.2,108,29.4,48,"2021JP3046RL","1st round",32,-5.1
"106432","lackner thomas",98.8,93.7,104,22.2,48,"2021JP3046RL","1st round",33.7,-5.1
"106433","bresadola giovanni",89.1,92.7,100.5,15.9,43.5,"2021JP3046RL","1st round",29.7,0
"106434","granerud halvor egner",144.3,92,136,79.8,49.5,"2021JP3046RLQ","qualification",15,0
"106435","huber daniel",142.9,92.2,134,76.2,55.5,"2021JP3046RLQ","qualification",11.2,0
"106436","stoch kamil",142.2,91.8,129.5,68.1,55.5,"2021JP3046RLQ","qualification",18.6,0
"106437","paschke pius",140.7,91.9,128,65.4,54.5,"2021JP3046RLQ","qualification",20.8,0
"106438","zyla piotr",140.3,92.1,134,76.2,52,"2021JP3046RLQ","qualification",12.1,0
"106439","eisenbichler markus",138,92,129.5,68.1,53.5,"2021JP3046RLQ","qualification",16.4,0
"106440","kubacki dawid",136.8,92.4,131,70.8,55.5,"2021JP3046RLQ","qualification",10.5,0
"106441","sato yukiya",135.1,91.8,128.5,66.3,54,"2021JP3046RLQ","qualification",14.8,0
"106442","lindvik marius",133.5,91.8,129,67.2,54,"2021JP3046RLQ","qualification",12.3,0
"106443","johansson robert",130.7,92.1,126,61.8,52.5,"2021JP3046RLQ","qualification",16.4,0
"106444","bartol tilen",129.9,91.9,125,60,53,"2021JP3046RLQ","qualification",16.9,0
"106445","lanisek anze",129.2,91.8,125,60,54,"2021JP3046RLQ","qualification",15.2,0
"106446","prevc peter",126.7,92,123.5,57.3,52.5,"2021JP3046RLQ","qualification",16.9,0
"106447","kobayashi ryoyu",126.6,92,124.5,59.1,51.5,"2021JP3046RLQ","qualification",16,0
"106448","klimov evgeniy",125,91.7,121.5,53.7,52.5,"2021JP3046RLQ","qualification",18.8,0
"106449","stekala andrzej",123.6,92,125,60,53.5,"2021JP3046RLQ","qualification",10.1,0
"106450","hayboeck michael",123,92.1,120,51,52.5,"2021JP3046RLQ","qualification",19.5,0
"106451","muranka klemens",122.7,91.8,122.5,55.5,52.5,"2021JP3046RLQ","qualification",14.7,0
"106452","hamann martin",121.3,91.9,122,54.6,52.5,"2021JP3046RLQ","qualification",14.2,0
"106453","prevc cene",121,92,121.5,53.7,52,"2021JP3046RLQ","qualification",15.3,0
"106454","forfang johann andre",120.1,91.9,122,54.6,52.5,"2021JP3046RLQ","qualification",13,0
"106455","sato keiichi",118.9,92,121,52.8,52.5,"2021JP3046RLQ","qualification",13.6,0
"106456","schmid constantin",118,92.3,121.5,53.7,52.5,"2021JP3046RLQ","qualification",11.8,0
"106457","zniszczol aleksander",117.2,92,121,52.8,51,"2021JP3046RLQ","qualification",13.4,0
"106458","boyd-clowes mackenzie",116.7,92.2,118,47.4,51.5,"2021JP3046RLQ","qualification",17.8,0
"106459","kobayashi junshiro",116.2,92,118.5,48.3,51,"2021JP3046RLQ","qualification",16.9,0
"106460","nakamura naoki",116.2,91.9,118,47.4,51.5,"2021JP3046RLQ","qualification",17.3,0
"106461","prevc domen",115.9,92,116,43.8,50.5,"2021JP3046RLQ","qualification",21.6,0
"106462","ito daiki",115.2,92,117,45.6,51,"2021JP3046RLQ","qualification",18.6,0
"106463","deschwanden gregor",113.2,92,118.5,48.3,52,"2021JP3046RLQ","qualification",12.9,0
"106464","aschenwald philipp",112,92,115,42,51,"2021JP3046RLQ","qualification",19,0
"106465","aalto antti",111.1,92.1,114.5,41.1,51,"2021JP3046RLQ","qualification",19,0
"106466","eriksen sander vossan",111,91.8,116.5,44.7,51,"2021JP3046RLQ","qualification",15.3,0
"106467","kytosaho niko",110.6,91.9,115.5,42.9,51,"2021JP3046RLQ","qualification",16.7,0
"106468","freund severin",110.4,92.1,116.5,44.7,49.5,"2021JP3046RLQ","qualification",16.2,0
"106469","pavlovcic bor",109.1,92.4,116,43.8,51,"2021JP3046RLQ","qualification",14.3,0
"106470","tande daniel andre",108.3,91.7,116,43.8,51,"2021JP3046RLQ","qualification",13.5,0
"106471","aigro artti",107.5,91.7,114,40.2,48,"2021JP3046RLQ","qualification",19.3,0
"106472","fettner manuel",106,92,113,38.4,49.5,"2021JP3046RLQ","qualification",18.1,0
"106473","schlierenzauer gregor",105.9,92.1,112,36.6,50,"2021JP3046RLQ","qualification",19.3,0
"106474","lackner thomas",105.6,91.9,113.5,39.3,50,"2021JP3046RLQ","qualification",16.3,0
"106475","polasek viktor",105.3,91.2,112,36.6,49.5,"2021JP3046RLQ","qualification",19.2,0
"106476","peter dominik",103.4,91.9,113,38.4,49.5,"2021JP3046RLQ","qualification",15.5,0
"106477","sadreev danil",102.7,91.8,110.5,33.9,49,"2021JP3046RLQ","qualification",19.8,0
"106478","siegel david",101.6,91.8,113.5,39.3,50.5,"2021JP3046RLQ","qualification",11.8,0
"106479","justin rok",100.1,92.2,110,33,49.5,"2021JP3046RLQ","qualification",17.6,0
"106480","kozisek cestmir",96.2,91.3,110,33,49,"2021JP3046RLQ","qualification",14.2,0
"106481","bresadola giovanni",92.6,91.6,108,29.4,46,"2021JP3046RLQ","qualification",17.2,0
"106482","soukup matthew",90.1,91.9,103.5,21.3,48,"2021JP3046RLQ","qualification",20.8,0
"106483","wellinger andreas",88.2,92.2,103,20.4,48.5,"2021JP3046RLQ","qualification",19.3,0
"106484","schuler andreas",87.8,91.9,102,18.6,47,"2021JP3046RLQ","qualification",22.2,0
"106485","insam alex",83.2,91.4,106,25.8,43.5,"2021JP3046RLQ","qualification",13.9,0
