"","id","name","points","speed","dist","dist_points","note_points","round","wind_comp","gate_points","season","place","gender"
"47","2021JP3002RL","geiger karl",228,105.2,240.5,168.6,57.5,"3rd round",1.9,0,2021,"Planica (SLO)","Men"
"48","2021JP3002RL","geiger karl",218,105.1,231.5,157.8,56.5,"final round",3.7,0,2021,"Planica (SLO)","Men"
"49","2021JP3002RL","granerud halvor egner",209.3,104.3,221,145.2,55,"1st round",9.1,0,2021,"Planica (SLO)","Men"
"50","2021JP3002RL","granerud halvor egner",217.3,104.4,229.5,155.4,55.5,"2nd round",6.4,0,2021,"Planica (SLO)","Men"
"51","2021JP3002RL","granerud halvor egner",224.9,104.6,239,166.8,56,"3rd round",2.1,0,2021,"Planica (SLO)","Men"
"52","2021JP3002RL","granerud halvor egner",225.2,104.6,243,171.6,51,"final round",2.6,0,2021,"Planica (SLO)","Men"
"53","2021JP3002RL","eisenbichler markus",205.4,104.6,220,144,55,"1st round",6.4,0,2021,"Planica (SLO)","Men"
"54","2021JP3002RL","eisenbichler markus",220.3,104.4,247,176.4,49.5,"2nd round",-5.6,0,2021,"Planica (SLO)","Men"
"55","2021JP3002RL","eisenbichler markus",217.3,104.7,234.5,161.4,56,"3rd round",-0.1,0,2021,"Planica (SLO)","Men"
"56","2021JP3002RL","eisenbichler markus",216.3,104.7,230,156,56.5,"final round",3.8,0,2021,"Planica (SLO)","Men"
"57","2021JP3002RL","hayboeck michael",221.1,104.8,245.5,174.6,55,"1st round",-8.5,0,2021,"Planica (SLO)","Men"
"58","2021JP3002RL","hayboeck michael",201.8,104.9,217,140.4,53,"2nd round",8.4,0,2021,"Planica (SLO)","Men"
"59","2021JP3002RL","hayboeck michael",219.1,105.3,237.5,165,51,"3rd round",3.1,0,2021,"Planica (SLO)","Men"
"60","2021JP3002RL","hayboeck michael",203.1,105.2,220.5,144.6,54,"final round",4.5,0,2021,"Planica (SLO)","Men"
"61","2021JP3002RL","johansson robert",202.5,104.7,220,144,54,"1st round",4.5,0,2021,"Planica (SLO)","Men"
"62","2021JP3002RL","johansson robert",208.9,104.8,228.5,154.2,56,"2nd round",-1.3,0,2021,"Planica (SLO)","Men"
"63","2021JP3002RL","johansson robert",211.5,104.9,228,153.6,56,"3rd round",1.9,0,2021,"Planica (SLO)","Men"
"64","2021JP3002RL","johansson robert",218.1,104.9,232,158.4,55.5,"final round",4.2,0,2021,"Planica (SLO)","Men"
"65","2021JP3002RL","sato yukiya",203.3,103.7,222,146.4,55,"1st round",1.9,0,2021,"Planica (SLO)","Men"
"66","2021JP3002RL","sato yukiya",205.6,104,229,154.8,54,"2nd round",-3.2,0,2021,"Planica (SLO)","Men"
"67","2021JP3002RL","sato yukiya",212.6,104,228,153.6,55.5,"3rd round",3.5,0,2021,"Planica (SLO)","Men"
"68","2021JP3002RL","sato yukiya",213.6,103.9,229,154.8,55.5,"final round",3.3,0,2021,"Planica (SLO)","Men"
"69","2021JP3002RL","zyla piotr",202.1,104.2,221.5,145.8,54,"1st round",2.3,0,2021,"Planica (SLO)","Men"
"70","2021JP3002RL","zyla piotr",206.4,104.5,224.5,149.4,54,"2nd round",3,0,2021,"Planica (SLO)","Men"
