"Province_State" "Country_Region" "Confirmed" "Deaths" "Recovered" "Active"
"95" "Biobio" "Chile" 38419 635 35765 2019
"96" "Coquimbo" "Chile" 13283 274 12815 194
"97" "Los Lagos" "Chile" 21465 218 20395 852
"98" "Los Rios" "Chile" 6596 61 5978 557
"99" "Magallanes" "Chile" 14915 206 14213 496
"100" "Maule" "Chile" 21476 502 20508 466
"101" "Metropolitana" "Chile" 307311 10424 294279 2608
"102" "Nuble" "Chile" 9114 183 8573 358
"103" "OHiggins" "Chile" 20122 553 19284 285
"104" "Tarapaca" "Chile" 14035 260 13570 205
"105" "Valparaiso" "Chile" 32938 1165 31184 589
"106" "Anhui" "China" 992 6 986 0
"107" "Beijing" "China" 952 9 939 4
"108" "Chongqing" "China" 590 6 583 1
"109" "Fujian" "China" 500 1 453 46
"110" "Gansu" "China" 182 2 180 0
"111" "Guangdong" "China" 2004 8 1960 36
"112" "Guangxi" "China" 263 2 260 1
"113" "Guizhou" "China" 147 2 145 0
"114" "Hainan" "China" 171 6 165 0
"115" "Hebei" "China" 373 6 367 0
"116" "Heilongjiang" "China" 949 13 936 0
"117" "Henan" "China" 1295 22 1266 7
"118" "Hong Kong" "China" 6897 112 5567 1218
"119" "Hubei" "China" 68149 4512 63633 4
"120" "Hunan" "China" 1020 4 1016 0
"121" "Inner Mongolia" "China" 336 1 308 27
"122" "Jiangsu" "China" 680 0 674 6
"123" "Jiangxi" "China" 935 1 934 0
"124" "Jilin" "China" 157 2 155 0
"125" "Liaoning" "China" 289 2 287 0
"126" "Macau" "China" 46 0 46 0
"127" "Ningxia" "China" 75 0 75 0
"128" "Qinghai" "China" 18 0 18 0
"129" "Shaanxi" "China" 502 3 478 21
"130" "Shandong" "China" 857 7 841 9
"131" "Shanghai" "China" 1366 7 1294 65
"132" "Shanxi" "China" 222 0 218 4
"133" "Sichuan" "China" 812 3 779 30
"134" "Tianjin" "China" 301 3 292 6
"135" "Tibet" "China" 1 0 1 0
"136" "Xinjiang" "China" 980 3 977 0
"137" "Yunnan" "China" 221 2 210 9
"138" "Zhejiang" "China" 1295 1 1288 6
"139" "Amazonas" "Colombia" 3160 123 3021 16
"140" "Antioquia" "Colombia" 221918 4184 205012 12722
"141" "Arauca" "Colombia" 4230 120 3902 208
"142" "Atlantico" "Colombia" 80283 3227 74859 2197
"143" "Bolivar" "Colombia" 40912 937 38067 1908
"144" "Boyaca" "Colombia" 23153 505 20923 1725
"145" "Caldas" "Colombia" 26826 509 23981 2336
"146" "Capital District" "Colombia" 389136 8721 358054 22361
"147" "Caqueta" "Colombia" 13694 485 12391 818
"148" "Casanare" "Colombia" 7370 152 6791 427
"149" "Cauca" "Colombia" 16300 456 14696 1148
"150" "Cesar" "Colombia" 30520 925 27823 1772
"151" "Choco" "Colombia" 4568 166 4296 106
"152" "Cordoba" "Colombia" 28529 1657 25847 1025
"153" "Cundinamarca" "Colombia" 55177 1455 50601 3121
"154" "Guainia" "Colombia" 1213 19 1183 11
"155" "Guaviare" "Colombia" 1868 33 1807 28
"156" "Huila" "Colombia" 31044 990 29166 888
"157" "La Guajira" "Colombia" 12456 491 11460 505
"158" "Magdalena" "Colombia" 21212 993 19134 1085
"159" "Meta" "Colombia" 29372 645 27605 1122
"160" "Narino" "Colombia" 26400 862 23977 1561
"161" "Norte de Santander" "Colombia" 31187 1461 27551 2175
"162" "Putumayo" "Colombia" 5124 229 4607 288
"163" "Quindio" "Colombia" 18386 486 16559 1341
"164" "Risaralda" "Colombia" 24904 596 22475 1833
"165" "San Andres y Providencia" "Colombia" 2259 34 2096 129
"166" "Santander" "Colombia" 55815 2078 50139 3598
"167" "Sucre" "Colombia" 16741 657 15627 457
"168" "Tolima" "Colombia" 31871 957 29162 1752
"169" "Valle del Cauca" "Colombia" 113414 3631 102582 7201
"170" "Vaupes" "Colombia" 1124 12 1103 9
"171" "Vichada" "Colombia" 937 12 913 12
"172" "Comoros" "Comoros" 616 7 600 9
"173" "Congo (Brazzaville)" "Congo" 5774 94 4988 692
"174" "Congo (Kinshasa)" "Congo" 13527 344 11947 1236
"175" "Costa Rica" "Costa Rica" 143685 1773 95789 46123
"176" "Croatia" "Croatia" 150353 2174 124439 23740
"177" "Cuba" "Cuba" 8782 136 7963 683
"178" "Cyprus" "Cyprus" 12451 61 2057 10333
"179" "Czechia" "Czechia" 546833 8902 478094 59837
"180" "Faroe Islands" "Denmark" 510 0 501 9
"181" "Greenland" "Denmark" 18 0 18 0
"182" "Denmark" "Denmark" 90603 885 70876 18842
"183" "Djibouti" "Djibouti" 5701 61 5593 47
"184" "Dominican Republic" "Dominican Republic" 148453 2345 116873 29235
"185" "Ecuador" "Ecuador" 197998 13778 174188 10032
"186" "Egypt" "Egypt" 118432 6771 103501 8160
"187" "El Salvador" "El Salvador" 40131 1159 36525 2447
"188" "Equatorial Guinea" "Equatorial Guinea" 5159 85 5023 51
"189" "Eritrea" "Eritrea" 632 0 508 124
"190" "Estonia" "Estonia" 14978 131 8959 5888
"191" "Ethiopia" "Ethiopia" 113295 1747 80831 30717
"192" "Fiji" "Fiji" 44 2 33 9
"193" "Finland" "Finland" 27631 415 18100 9116
"194" "French Guiana" "France" 11407 71 9995 1341
"195" "French Polynesia" "France" 15107 79 4842 10186
"196" "Guadeloupe" "France" 8427 149 2242 6036
"197" "Martinique" "France" 5520 41 98 5381
"198" "Mayotte" "France" 5181 49 2964 2168
"199" "New Caledonia" "France" 35 0 32 3
"200" "Reunion" "France" 8200 41 7729 430
"201" "Saint Barthelemy" "France" 147 1 105 41
"202" "Saint Pierre and Miquelon" "France" 16 0 14 2
"203" "St Martin" "France" 717 12 641 64
"204" "France" "France" 2290891 54804 146558 2089529
"205" "Gabon" "Gabon" 9254 60 9106 88
"206" "Gambia" "Gambia" 3770 123 3615 32
"207" "Georgia" "Georgia" 162475 1504 133511 27460
"208" "Baden-Wurttemberg" "Germany" 166641 3022 120243 43376
"209" "Bayern" "Germany" 231896 4325 171004 56567
"210" "Berlin" "Germany" 71443 683 51095 19665
"211" "Brandenburg" "Germany" 23724 458 17368 5898
"212" "Bremen" "Germany" 10836 137 8936 1763
"213" "Hamburg" "Germany" 26855 423 19475 6957
"214" "Hessen" "Germany" 96637 1478 68981 26178
"215" "Mecklenburg-Vorpommern" "Germany" 6783 75 5181 1527
"216" "Niedersachsen" "Germany" 77741 1266 63986 12489
"217" "Nordrhein-Westfalen" "Germany" 287178 3954 219774 63450
"218" "Rheinland-Pfalz" "Germany" 49496 674 32233 16589
"219" "Saarland" "Germany" 14286 303 11611 2372
"220" "Sachsen" "Germany" 70168 1292 41260 27616
"221" "Sachsen-Anhalt" "Germany" 14951 210 10014 4727
"222" "Schleswig-Holstein" "Germany" 15781 265 12636 2880
"223" "Thuringen" "Germany" 20979 424 14488 6067
"224" "Ghana" "Ghana" 52274 325 51063 886
"225" "Greece" "Greece" 115471 3003 23074 89394
"226" "Grenada" "Grenada" 41 0 39 2
"227" "Guatemala" "Guatemala" 125550 4250 114315 6985
"228" "Guinea" "Guinea" 13233 76 12355 802
"229" "Guinea-Bissau" "Guinea-Bissau" 2441 44 2327 70
"230" "Guyana" "Guyana" 5665 153 4759 753
"231" "Haiti" "Haiti" 9370 233 8146 991
"232" "Honduras" "Honduras" 111023 2946 49456 58621
"233" "Hungary" "Hungary" 250278 5868 71682 172728
"234" "Iceland" "Iceland" 5482 27 5269 186
"235" "Andaman and Nicobar Islands" "India" 4758 61 4624 73
"236" "Andhra Pradesh" "India" 871972 7033 859029 5910
"237" "Arunachal Pradesh" "India" 16395 55 15605 735
"238" "Assam" "India" 213759 993 209214 3552
"239" "Bihar" "India" 238106 1295 231248 5563
"240" "Chandigarh" "India" 18027 291 16814 922
"241" "Chhattisgarh" "India" 246809 2989 223772 20048
"242" "Dadra and Nagar Haveli and Daman and Diu" "India" 3342 2 3326 14
"243" "Delhi" "India" 592250 9643 557914 24693
"244" "Goa" "India" 48686 698 46624 1364
"245" "Gujarat" "India" 218788 4081 200012 14695
"246" "Haryana" "India" 243896 2588 228411 12897
"247" "Himachal Pradesh" "India" 44958 732 35957 8269
"248" "Jammu and Kashmir" "India" 113288 1746 106372 5170
"249" "Jharkhand" "India" 110278 986 107496 1796
"250" "Karnataka" "India" 893006 11856 855750 25400
"251" "Kerala" "India" 636392 2418 572911 61063
"252" "Ladakh" "India" 8893 120 7917 856
"253" "Lakshadweep" "India" 0 0 0 0
"254" "Madhya Pradesh" "India" 214505 3337 197777 13391
"255" "Maharashtra" "India" 1852266 47734 1723370 81162
"256" "Manipur" "India" 26073 306 22848 2919
"257" "Meghalaya" "India" 12237 120 11453 664
"258" "Mizoram" "India" 3936 6 3728 202
"259" "Nagaland" "India" 11379 66 10766 547
"260" "Odisha" "India" 321196 1771 315840 3585
"261" "Puducherry" "India" 37224 614 36238 372
"262" "Punjab" "India" 156226 4916 143414 7896
"263" "Rajasthan" "India" 280585 2429 255729 22427
"264" "Sikkim" "India" 5197 115 4695 387
"265" "Tamil Nadu" "India" 790240 11793 767759 10688
"266" "Telangana" "India" 273858 1474 264606 7778
"267" "Tripura" "India" 32897 373 32110 414
"268" "Uttar Pradesh" "India" 554944 7924 524860 22160
"269" "Uttarakhand" "India" 77997 1285 71489 5223
"270" "West Bengal" "India" 502840 8723 470223 23894
"271" "Indonesia" "Indonesia" 575796 17740 474771 83285
"272" "Iran" "Iran" 1040547 50310 730798 259439
"273" "Iraq" "Iraq" 564200 12432 493567 58201
"274" "Ireland" "Ireland" 74246 2099 23364 48783
"275" "Israel" "Israel" 344906 2917 329368 12621
"276" "Abruzzo" "Italy" 30274 980 12206 17088
"277" "Basilicata" "Italy" 8940 175 2397 6368
"278" "Calabria" "Italy" 18537 343 7533 10661
"279" "Campania" "Italy" 165293 1990 62060 101243
"280" "Emilia-Romagna" "Italy" 133761 6162 59432 68167
"281" "Friuli Venezia Giulia" "Italy" 35467 1035 19401 15031
"282" "Lazio" "Italy" 130255 2622 33422 94211
"283" "Liguria" "Italy" 53779 2521 40842 10416
"284" "Lombardia" "Italy" 429109 23024 289706 116379
"285" "Marche" "Italy" 32393 1327 11008 20058
"286" "Molise" "Italy" 5286 135 2438 2713
"287" "P.A. Bolzano" "Italy" 25361 578 13862 10921
"288" "P.A. Trento" "Italy" 17103 691 13995 2417
"289" "Piemonte" "Italy" 177788 6623 105127 66038
"290" "Puglia" "Italy" 64341 1712 16795 45834
"291" "Sardegna" "Italy" 24186 531 8695 14960
"292" "Sicilia" "Italy" 71489 1759 29984 39746
"293" "Toscana" "Italy" 108397 2867 76331 29199
"294" "Umbria" "Italy" 25144 460 18619 6065
"295" "Veneto" "Italy" 165249 4210 84235 76804
"296" "Jamaica" "Jamaica" 11120 265 6998 3857
"297" "Aichi" "Japan" 11339 118 9002 2219
"298" "Akita" "Japan" 90 1 85 4
"299" "Aomori" "Japan" 341 6 273 62
"300" "Chiba" "Japan" 7467 91 6471 905
"301" "Ehime" "Japan" 345 6 233 106
"302" "Fukui" "Japan" 321 11 294 16
"303" "Fukuoka" "Japan" 6056 108 5500 448
"304" "Fukushima" "Japan" 541 9 457 75
"305" "Gifu" "Japan" 1245 15 958 272
"306" "Gunma" "Japan" 1388 20 1090 278
"307" "Hiroshima" "Japan" 1083 6 800 277
"308" "Hokkaido" "Japan" 10028 243 7269 2516
"309" "Hyogo" "Japan" 6451 87 5296 1068
"310" "Ibaraki" "Japan" 1832 24 1373 435
"311" "Ishikawa" "Japan" 873 51 794 28
"312" "Iwate" "Japan" 220 4 150 66
"313" "Kagawa" "Japan" 165 3 126 36
"314" "Kagoshima" "Japan" 673 15 602 56
"315" "Kanagawa" "Japan" 13666 212 12067 1387
"316" "Kochi" "Japan" 233 4 147 82
"317" "Kumamoto" "Japan" 1092 14 964 114
"318" "Kyoto" "Japan" 2858 38 2480 340
"319" "Mie" "Japan" 949 8 747 194
"320" "Miyagi" "Japan" 1312 9 1117 186
"321" "Miyazaki" "Japan" 556 1 449 106
"322" "Nagano" "Japan" 802 6 655 141
"323" "Nagasaki" "Japan" 276 3 257 16
"324" "Nara" "Japan" 1290 12 1024 254
"325" "Niigata" "Japan" 356 0 272 84
"326" "Oita" "Japan" 397 3 236 158
"327" "Okayama" "Japan" 660 11 468 181
"328" "Okinawa" "Japan" 4577 76 4050 451
"329" "Osaka" "Japan" 22508 321 17347 4840
"330" "Port Quarantine" "Japan" 1607 1 1442 164
"331" "Saga" "Japan" 335 2 294 39
"332" "Saitama" "Japan" 9331 153 7423 1755
"333" "Shiga" "Japan" 816 11 730 75
"334" "Shimane" "Japan" 158 0 146 12
"335" "Shizuoka" "Japan" 1947 15 1243 689
"336" "Tochigi" "Japan" 749 2 576 171
"337" "Tokushima" "Japan" 185 9 170 6
"338" "Tokyo" "Japan" 43753 486 38383 4884
"339" "Tottori" "Japan" 63 0 52 11
"340" "Toyama" "Japan" 462 26 418 18
"341" "Wakayama" "Japan" 503 7 402 94
"342" "Yamagata" "Japan" 177 1 124 52
"343" "Yamaguchi" "Japan" 411 2 346 63
"344" "Yamanashi" "Japan" 422 8 311 103
"345" "Jordan" "Jordan" 240089 3056 187444 49589
"346" "Kazakhstan" "Kazakhstan" 180089 2488 151755 25846
"347" "Kenya" "Kenya" 88380 1526 68929 17925
"348" "Kosovo" "Kosovo" 42805 1106 28504 13195
"349" "Kuwait" "Kuwait" 144369 891 140035 3443
"350" "Kyrgyzstan" "Kyrgyzstan" 75395 1297 67400 6698
"351" "Laos" "Laos" 39 0 26 13
"352" "Latvia" "Latvia" 21313 262 1866 19185
"353" "Lebanon" "Lebanon" 137112 1099 90229 45784
"354" "Lesotho" "Lesotho" 2150 44 1278 828
"355" "Liberia" "Liberia" 1676 83 1358 235
"356" "Libya" "Libya" 86580 1231 56702 28647
"357" "Liechtenstein" "Liechtenstein" 1396 17 1183 196
"358" "Lithuania" "Lithuania" 74649 626 30390 43633
"359" "Luxembourg" "Luxembourg" 37017 345 28029 8643
"360" "Madagascar" "Madagascar" 17513 255 16927 331
"361" "Malawi" "Malawi" 6051 185 5476 390
"362" "Malaysia" "Malaysia" 72694 382 61273 11039
"363" "Maldives" "Maldives" 13198 47 12321 830
"364" "Mali" "Mali" 5135 164 3369 1602
"365" "Malta" "Malta" 10520 151 8396 1973
"366" "Mauritania" "Mauritania" 9516 188 7849 1479
"367" "Mauritius" "Mauritius" 508 10 465 33
"368" "Aguascalientes" "Mexico" 14750 1145 0 13605
"369" "Baja California" "Mexico" 28184 4528 0 23656
"370" "Baja California Sur" "Mexico" 14999 682 0 14317
"371" "Campeche" "Mexico" 6884 929 0 5955
"372" "Chiapas" "Mexico" 7827 1173 0 6654
"373" "Chihuahua" "Mexico" 32125 3871 0 28254
"374" "Ciudad de Mexico" "Mexico" 232009 14021 0 217988
"375" "Coahuila" "Mexico" 43450 3541 0 39909
"376" "Colima" "Mexico" 7373 759 0 6614
"377" "Durango" "Mexico" 22391 1280 0 21111
"378" "Guanajuato" "Mexico" 67124 4250 0 62874
"379" "Guerrero" "Mexico" 24165 2521 0 21644
"380" "Hidalgo" "Mexico" 19883 2814 0 17069
"381" "Jalisco" "Mexico" 43716 5032 0 38684
"382" "Mexico" "Mexico" 117013 16138 0 100875
"383" "Michoacan" "Mexico" 29255 2383 0 26872
"384" "Morelos" "Mexico" 8165 1313 0 6852
"385" "Nayarit" "Mexico" 7342 943 0 6399
"386" "Nuevo Leon" "Mexico" 70477 4680 0 65797
"387" "Oaxaca" "Mexico" 25108 1966 0 23142
"388" "Puebla" "Mexico" 40891 5235 0 35656
"389" "Queretaro" "Mexico" 24159 1521 0 22638
"390" "Quintana Roo" "Mexico" 14750 1955 0 12795
"391" "San Luis Potosi" "Mexico" 36065 2619 0 33446
"392" "Sinaloa" "Mexico" 24887 4023 0 20864
"393" "Sonora" "Mexico" 45219 3538 0 41681
"394" "Tabasco" "Mexico" 38317 3081 0 35236
"395" "Tamaulipas" "Mexico" 36402 3029 0 33373
"396" "Tlaxcala" "Mexico" 9644 1296 0 8348
"397" "Veracruz" "Mexico" 40539 5960 0 34579
"398" "Yucatan" "Mexico" 24639 2061 0 22578
"399" "Zacatecas" "Mexico" 18098 1430 0 16668
"400" "Moldova" "Moldova" 116365 2419 101244 12702
"401" "Monaco" "Monaco" 638 3 574 61
"402" "Mongolia" "Mongolia" 887 0 384 503
"403" "Montenegro" "Montenegro" 38246 533 26999 10714
"404" "Morocco" "Morocco" 379657 6245 331301 42111
"405" "Mozambique" "Mozambique" 16244 133 14416 1695
"406" "Namibia" "Namibia" 15078 152 13939 987
"407" "Nepal" "Nepal" 240981 1594 225805 13582
"408" "Aruba" "Netherlands" 4965 45 4788 132
"409" "Bonaire, Sint Eustatius and Saba" "Netherlands" 164 3 158 3
"410" "Curacao" "Netherlands" 3136 7 1337 1792
"411" "Drenthe" "Netherlands" 8285 116 0 8169
"412" "Flevoland" "Netherlands" 12247 146 0 12101
"413" "Friesland" "Netherlands" 9379 140 0 9239
"414" "Gelderland" "Netherlands" 56489 1088 0 55401
"415" "Groningen" "Netherlands" 9217 54 0 9163
"416" "Limburg" "Netherlands" 27473 904 0 26569
"417" "Noord-Brabant" "Netherlands" 88647 2086 0 86561
"418" "Noord-Holland" "Netherlands" 99889 1331 0 98558
"419" "Overijssel" "Netherlands" 33816 556 0 33260
"420" "Sint Maarten" "Netherlands" 1139 26 1017 96
"421" "Utrecht" "Netherlands" 47185 720 0 46465
"422" "Zeeland" "Netherlands" 6710 104 0 6606
"423" "Zuid-Holland" "Netherlands" 154813 2414 0 152399
"424" "New Zealand" "New Zealand" 2079 25 1998 56
"425" "Nicaragua" "Nicaragua" 5838 161 4225 1452
"426" "Niger" "Niger" 1856 77 1237 542
"427" "Nigeria" "Nigeria" 69255 1180 64774 3301
"428" "North Macedonia" "North Macedonia" 67968 1924 43646 22398
"429" "Norway" "Norway" 38323 354 17998 19971
"430" "Oman" "Oman" 124886 1444 116354 7088
"431" "Azad Jammu and Kashmir" "Pakistan" 7356 181 5698 1477
"432" "Balochistan" "Pakistan" 17466 169 16736 561
"433" "Gilgit-Baltistan" "Pakistan" 4732 98 4482 152
"434" "Islamabad" "Pakistan" 32816 341 26396 6079
"435" "Khyber Pakhtunkhwa" "Pakistan" 49676 1413 44253 4010
"436" "Punjab" "Pakistan" 123762 3177 99396 21189
"437" "Sindh" "Pakistan" 184486 3019 159581 21886
"438" "Panama" "Panama" 177719 3193 152890 21636
"439" "Papua New Guinea" "Papua New Guinea" 671 7 597 67
"440" "Paraguay" "Paraguay" 87920 1853 61948 24119
"441" "Amazonas" "Peru" 18131 243 0 17888
"442" "Ancash" "Peru" 29063 1438 0 27625
"443" "Apurimac" "Peru" 6714 139 0 6575
"444" "Arequipa" "Peru" 46703 1546 0 45157
"445" "Ayacucho" "Peru" 14691 357 0 14334
"446" "Cajamarca" "Peru" 24113 570 0 23543
"447" "Callao" "Peru" 41337 1917 0 39420
"448" "Cusco" "Peru" 24264 504 0 23760
"449" "Huancavelica" "Peru" 7706 134 0 7572
"450" "Huanuco" "Peru" 19337 458 0 18879
"451" "Ica" "Peru" 31118 1734 0 29384
"452" "Junin" "Peru" 25918 913 0 25005
"453" "La Libertad" "Peru" 35861 2388 0 33473
"454" "Lambayeque" "Peru" 31348 1865 0 29483
"455" "Lima" "Peru" 432960 16228 0 416732
"456" "Loreto" "Peru" 25034 989 0 24045
"457" "Madre de Dios" "Peru" 9289 151 0 9138
"458" "Moquegua" "Peru" 15438 289 0 15149
"459" "Pasco" "Peru" 6304 127 0 6177
"460" "Piura" "Peru" 41271 2128 0 39143
"461" "Puno" "Peru" 18650 375 0 18275
"462" "San Martin" "Peru" 24456 778 0 23678
"463" "Tacna" "Peru" 14200 255 0 13945
"464" "Tumbes" "Peru" 9187 333 0 8854
"465" "Ucayali" "Peru" 19595 372 0 19223
"466" "Philippines" "Philippines" 439834 8554 408634 22646
"467" "Poland" "Poland" 1063449 20089 706720 336640
"468" "Portugal" "Portugal" 322474 4963 243055 74456
"469" "Qatar" "Qatar" 139908 239 137276 2393
"470" "Romania" "Romania" 513576 12320 405612 95644
"471" "Adygea Republic" "Russia" 8635 69 6940 1626
"472" "Altai Krai" "Russia" 27471 621 25174 1676
"473" "Altai Republic" "Russia" 11817 38 10884 895
"474" "Amur Oblast" "Russia" 12284 98 10304 1882
"475" "Arkhangelsk Oblast" "Russia" 33603 355 23341 9907
"476" "Astrakhan Oblast" "Russia" 14639 277 10359 4003
"477" "Bashkortostan Republic" "Russia" 15121 90 12415 2616
"478" "Belgorod Oblast" "Russia" 17259 90 15337 1832
"479" "Bryansk Oblast" "Russia" 18226 149 15929 2148
"480" "Buryatia Republic" "Russia" 20401 467 18343 1591
"481" "Chechen Republic" "Russia" 5184 80 2748 2356
"482" "Chelyabinsk Oblast" "Russia" 27032 332 22498 4202
"483" "Chukotka Autonomous Okrug" "Russia" 417 4 368 45
"484" "Chuvashia Republic" "Russia" 13295 323 12317 655
"485" "Dagestan Republic" "Russia" 19695 1004 17572 1119
"486" "Ingushetia Republic" "Russia" 9967 117 8497 1353
"487" "Irkutsk Oblast" "Russia" 33745 864 29802 3079
"488" "Ivanovo Oblast" "Russia" 16796 281 12203 4312
"489" "Jewish Autonomous Okrug" "Russia" 3133 51 2128 954
"490" "Kabardino-Balkarian Republic" "Russia" 13294 227 10788 2279
"491" "Kaliningrad Oblast" "Russia" 12619 123 9443 3053
"492" "Kalmykia Republic" "Russia" 12227 162 10121 1944
"493" "Kaluga Oblast" "Russia" 16888 118 15557 1213
"494" "Kamchatka Krai" "Russia" 8117 79 6717 1321
"495" "Karachay-Cherkess Republic" "Russia" 12789 36 10544 2209
"496" "Karelia Republic" "Russia" 17875 115 11048 6712
"497" "Kemerovo Oblast" "Russia" 21820 399 18394 3027
"498" "Khabarovsk Krai" "Russia" 26583 168 20010 6405
"499" "Khakassia Republic" "Russia" 13150 150 9597 3403
"500" "Khanty-Mansi Autonomous Okrug" "Russia" 35666 441 30866 4359
"501" "Kirov Oblast" "Russia" 19540 202 12331 7007
"502" "Komi Republic" "Russia" 23088 406 19067 3615
"503" "Kostroma Oblast" "Russia" 12207 196 8788 3223
"504" "Krasnodar Krai" "Russia" 23105 643 15695 6767
"505" "Krasnoyarsk Krai" "Russia" 38228 1238 30721 6269
"506" "Kurgan Oblast" "Russia" 9326 119 8137 1070
"507" "Kursk Oblast" "Russia" 16290 220 14503 1567
"508" "Leningrad Oblast" "Russia" 18219 158 13963 4098
