"Province_State" "Country_Region" "Confirmed" "Deaths" "Recovered" "Active"
"1" "Afghanistan" "Afghanistan" 47306 1874 37685 7747
"2" "Albania" "Albania" 42988 905 21617 20466
"3" "Algeria" "Algeria" 88252 2516 57146 28590
"4" "Angola" "Angola" 15591 354 8338 6899
"5" "Argentina" "Argentina" 1463110 39770 1294692 128648
"6" "Australian Capital Territory" "Australia" 117 3 113 1
"7" "New South Wales" "Australia" 4614 53 3186 1375
"8" "Northern Territory" "Australia" 59 0 46 13
"9" "Queensland" "Australia" 1215 6 1191 18
"10" "South Australia" "Australia" 562 4 556 2
"11" "Tasmania" "Australia" 230 13 217 0
"12" "Victoria" "Australia" 20345 820 19525 0
"13" "Western Australia" "Australia" 830 9 808 13
"14" "Austria" "Austria" 303430 3840 252765 46825
"15" "Azerbaijan" "Azerbaijan" 146679 1632 88497 56550
"16" "Bahamas" "Bahamas" 7570 163 5995 1412
"17" "Bahrain" "Bahrain" 87930 341 86030 1559
"18" "Bangladesh" "Bangladesh" 477545 6838 395960 74747
"19" "Barbados" "Barbados" 285 7 260 18
"20" "Antwerp" "Belgium" 70046 0 0 70046
"21" "Brussels" "Belgium" 77621 0 0 77621
"22" "East Flanders" "Belgium" 56171 0 0 56171
"23" "Flemish Brabant" "Belgium" 45221 0 0 45221
"24" "Hainaut" "Belgium" 95260 0 0 95260
"25" "Liege" "Belgium" 92817 0 0 92817
"26" "Limburg" "Belgium" 25244 0 0 25244
"27" "Luxembourg" "Belgium" 16808 0 0 16808
"28" "Namur" "Belgium" 32948 0 0 32948
"29" "Belgium" "Belgium" 9751 17320 0 -7569
"30" "Walloon Brabant" "Belgium" 23573 0 0 23573
"31" "West Flanders" "Belgium" 46296 0 0 46296
"32" "Belize" "Belize" 7769 173 3849 3747
"33" "Benin" "Benin" 3055 44 2907 104
"34" "Bhutan" "Bhutan" 430 0 388 42
"35" "Bolivia" "Bolivia" 145560 8995 124799 11766
"36" "Bosnia and Herzegovina" "Bosnia and Herzegovina" 94507 2952 58625 32930
"37" "Botswana" "Botswana" 11531 34 8978 2519
"38" "Acre" "Brazil" 37321 732 32215 4374
"39" "Alagoas" "Brazil" 96632 2354 92065 2213
"40" "Amapa" "Brazil" 61177 827 47531 12819
"41" "Amazonas" "Brazil" 182668 4951 156395 21322
"42" "Bahia" "Brazil" 423124 8418 399262 15444
"43" "Ceara" "Brazil" 304443 9693 253736 41014
"44" "Distrito Federal" "Brazil" 233731 3985 221890 7856
"45" "Espirito Santo" "Brazil" 200213 4396 182520 13297
"46" "Goias" "Brazil" 286019 6456 275454 4109
"47" "Maranhao" "Brazil" 195086 4339 186717 4030
"48" "Mato Grosso" "Brazil" 161554 4135 154411 3008
"49" "Mato Grosso do Sul" "Brazil" 105223 1833 90152 13238
"50" "Minas Gerais" "Brazil" 441315 10336 397575 33404
"51" "Para" "Brazil" 275049 6950 256661 11438
"52" "Paraiba" "Brazil" 149385 3359 119943 26083
"53" "Parana" "Brazil" 301510 6433 213752 81325
"54" "Pernambuco" "Brazil" 190415 9148 167137 14130
"55" "Piaui" "Brazil" 130984 2673 127416 895
"56" "Rio Grande do Norte" "Brazil" 97955 2728 48821 46406
"57" "Rio Grande do Sul" "Brazil" 349035 7183 317132 24720
"58" "Rio de Janeiro" "Brazil" 371075 23131 340032 7912
"59" "Rondonia" "Brazil" 82909 1596 72425 8888
"60" "Roraima" "Brazil" 64905 744 61308 2853
"61" "Santa Catarina" "Brazil" 396188 4011 357608 34569
"62" "Sao Paulo" "Brazil" 1287762 43015 1135106 109641
"63" "Sergipe" "Brazil" 94451 2333 84436 7682
"64" "Tocantins" "Brazil" 83411 1182 74957 7272
"65" "Brunei" "Brunei" 151 3 147 1
"66" "Bulgaria" "Bulgaria" 161421 4797 62246 94378
"67" "Burkina Faso" "Burkina Faso" 3212 68 2711 433
"68" "Burma" "Burma" 99155 2110 77636 19409
"69" "Burundi" "Burundi" 694 1 575 118
"70" "Cabo Verde" "Cabo Verde" 11063 109 10596 358
"71" "Cambodia" "Cambodia" 348 0 306 42
"72" "Cameroon" "Cameroon" 24752 443 23344 965
"73" "Alberta" "Canada" 68566 615 48467 19484
"74" "British Columbia" "Canada" 36132 492 25658 9982
"75" "Grand Princess" "Canada" 13 0 13 0
"76" "Manitoba" "Canada" 18806 395 9195 9216
"77" "New Brunswick" "Canada" 534 7 445 82
"78" "Newfoundland and Labrador" "Canada" 351 4 317 30
"79" "Northwest Territories" "Canada" 15 0 15 0
"80" "Nova Scotia" "Canada" 1368 65 1215 88
"81" "Nunavut" "Canada" 216 0 165 51
"82" "Ontario" "Canada" 130962 3794 113214 13954
"83" "Prince Edward Island" "Canada" 80 0 69 11
"84" "Quebec" "Canada" 151599 7255 130018 14326
"85" "Repatriated Travellers" "Canada" 13 0 13 0
"86" "Saskatchewan" "Canada" 10139 59 5530 4550
"87" "Yukon" "Canada" 54 1 41 12
"88" "Central African Republic" "Central African Republic" 4922 63 1924 2935
"89" "Chad" "Chad" 1725 102 1564 59
"90" "Antofagasta" "Chile" 22355 567 21597 191
"91" "Araucania" "Chile" 18510 246 17318 946
"92" "Arica y Parinacota" "Chile" 10307 211 9990 106
"93" "Atacama" "Chile" 8203 107 8039 57
"94" "Aysen" "Chile" 1288 15 1236 37
