saison;spieltag;spiel;tore_mannschaft1;tore_mannschaft2
21/22;17;8;27;27
21/22;17;9;23;28
21/22;18;1;30;27
21/22;18;2;34;32
21/22;18;3;23;23
21/22;18;4;32;19
21/22;18;5;25;31
21/22;18;6;28;29
21/22;18;7;25;28
21/22;18;8;26;27
21/22;18;9;24;16
21/22;19;1;33;27
21/22;19;2;25;29
21/22;19;3;28;19
21/22;19;4;23;20
21/22;19;5;29;29
21/22;19;6;27;22
21/22;19;7;29;42
21/22;19;8;29;27
21/22;19;9;32;31
21/22;20;1;30;20
21/22;20;2;28;21
21/22;20;3;26;26
21/22;20;4;20;30
21/22;20;5;27;30
21/22;20;6;24;26
21/22;20;7;33;26
21/22;20;8;23;23
21/22;20;9;33;30
21/22;21;1;37;26
21/22;21;2;22;26
21/22;21;3;26;30
21/22;21;4;26;29
21/22;21;5;29;22
21/22;21;6;26;25
21/22;21;7;32;27
21/22;21;8;26;21
21/22;21;9;28;31
21/22;22;1;22;22
21/22;22;2;27;26
21/22;22;3;25;44
21/22;22;4;34;24
21/22;22;5;31;31
21/22;22;6;27;30
21/22;22;7;26;32
21/22;22;8;29;34
21/22;22;9;31;25
21/22;23;1;26;22
21/22;23;2;26;26
21/22;23;3;31;33
21/22;23;4;27;31
21/22;23;5;38;25
21/22;23;6;25;24
21/22;23;7;29;22
21/22;23;8;25;31
21/22;23;9;37;31
21/22;24;1;25;23
21/22;24;2;19;21
21/22;24;3;30;29
21/22;24;4;29;28
21/22;24;5;27;31
21/22;24;6;35;21
21/22;24;7;29;26
21/22;24;8;29;27
21/22;24;9;27;30
21/22;25;1;33;23
21/22;25;2;29;24
21/22;25;3;23;25
21/22;25;4;22;31
21/22;25;5;23;27
21/22;25;6;25;30
21/22;25;7;26;32
21/22;25;8;25;21
21/22;25;9;23;27
21/22;26;1;30;22
21/22;26;2;34;29
21/22;26;3;23;28
21/22;26;4;29;29
21/22;26;5;20;32
21/22;26;6;27;28
21/22;26;7;23;31
21/22;26;8;24;33
21/22;26;9;27;24
21/22;27;1;28;34
21/22;27;2;24;26
21/22;27;3;29;25
21/22;27;4;30;23
21/22;27;5;25;28
21/22;27;6;26;29
21/22;27;7;30;19
21/22;27;8;32;32
21/22;27;9;27;30
21/22;28;1;29;21
21/22;28;2;33;22
21/22;28;3;33;23
21/22;28;4;27;33
21/22;28;5;28;27
21/22;28;6;22;29
21/22;28;7;27;25
21/22;28;8;22;28
21/22;28;9;29;25
21/22;29;1;26;21
21/22;29;2;22;29
21/22;29;3;20;31
21/22;29;4;28;30
21/22;29;5;36;38
21/22;29;6;25;26
21/22;29;7;24;22
21/22;29;8;29;32
21/22;29;9;32;24
21/22;30;1;31;27
21/22;30;2;26;30
