saison;spieltag;spiel;tore_mannschaft1;tore_mannschaft2
18/19;17;5;27;20
18/19;17;6;25;23
18/19;17;7;26;23
18/19;17;8;28;29
18/19;17;9;28;26
18/19;18;1;34;29
18/19;18;2;35;28
18/19;18;3;26;22
18/19;18;4;23;28
18/19;18;5;21;32
18/19;18;6;25;27
18/19;18;7;23;22
18/19;18;8;29;30
18/19;18;9;22;22
18/19;19;1;26;25
18/19;19;2;31;27
18/19;19;3;18;30
18/19;19;4;25;22
18/19;19;5;31;30
18/19;19;6;27;30
18/19;19;7;31;28
18/19;19;8;26;24
18/19;19;9;24;25
18/19;20;1;25;29
18/19;20;2;23;30
18/19;20;3;33;22
18/19;20;4;20;20
18/19;20;5;34;30
18/19;20;6;26;20
18/19;20;7;25;39
18/19;20;8;32;24
18/19;20;9;15;24
18/19;21;1;34;27
18/19;21;2;26;31
18/19;21;3;25;27
18/19;21;4;25;23
18/19;21;5;25;28
18/19;21;6;28;18
18/19;21;7;25;19
18/19;21;8;31;24
18/19;21;9;26;22
18/19;22;1;26;18
18/19;22;2;31;27
18/19;22;3;26;25
18/19;22;4;22;35
18/19;22;5;27;18
18/19;22;6;37;30
18/19;22;7;27;30
18/19;22;8;24;20
18/19;22;9;23;26
18/19;23;1;30;26
18/19;23;2;23;23
18/19;23;3;25;29
18/19;23;4;29;32
18/19;23;5;25;29
18/19;23;6;26;26
18/19;23;7;33;24
18/19;23;8;28;18
18/19;23;9;23;27
18/19;24;1;27;22
18/19;24;2;35;26
18/19;24;3;26;22
18/19;24;4;28;33
18/19;24;5;27;30
18/19;24;6;23;25
18/19;24;7;27;28
18/19;24;8;20;25
18/19;24;9;19;28
18/19;25;1;31;21
18/19;25;2;29;33
18/19;25;3;25;25
18/19;25;4;27;30
18/19;25;5;31;22
18/19;25;6;20;19
18/19;25;7;25;27
18/19;25;8;26;29
18/19;25;9;22;29
18/19;26;1;37;21
18/19;26;2;24;23
18/19;26;3;32;27
18/19;26;4;28;23
18/19;26;5;24;26
18/19;26;6;23;25
18/19;26;7;21;21
18/19;26;8;31;23
18/19;26;9;21;28
18/19;27;1;28;30
18/19;27;2;28;20
18/19;27;3;29;30
18/19;27;4;23;32
18/19;27;5;25;24
18/19;27;6;26;25
18/19;27;7;27;28
18/19;27;8;30;26
18/19;27;9;29;32
18/19;28;1;27;27
18/19;28;2;28;22
18/19;28;3;26;26
18/19;28;4;33;43
18/19;28;5;26;21
18/19;28;6;32;24
18/19;28;7;29;32
18/19;28;8;23;28
18/19;28;9;25;27
18/19;29;1;27;21
18/19;29;2;30;23
18/19;29;3;22;27
18/19;29;4;21;30
18/19;29;5;26;31
18/19;29;6;30;15
18/19;29;7;27;28
18/19;29;8;29;28
18/19;29;9;25;30
18/19;30;1;25;23
18/19;30;2;29;27
18/19;30;3;30;31
18/19;30;4;25;19
18/19;30;5;25;25
18/19;30;6;23;26
18/19;30;7;20;18
18/19;30;8;30;25
18/19;30;9;32;20
18/19;31;1;28;26
18/19;31;2;23;27
18/19;31;3;30;24
18/19;31;4;24;26
18/19;31;5;23;23
18/19;31;6;22;23
18/19;31;7;30;24
18/19;31;8;27;25
18/19;31;9;33;27
18/19;32;1;22;24
18/19;32;2;29;24
18/19;32;3;28;25
18/19;32;4;26;25
18/19;32;5;20;30
18/19;32;6;25;23
18/19;32;7;34;33
18/19;32;8;39;19
18/19;32;9;23;22
18/19;33;1;30;28
18/19;33;2;26;18
18/19;33;3;23;19
18/19;33;4;22;26
18/19;33;5;26;34
18/19;33;6;26;29
18/19;33;7;24;25
18/19;33;8;26;23
18/19;33;9;32;35
18/19;34;1;30;26
18/19;34;2;25;27
18/19;34;3;24;31
18/19;34;4;31;27
18/19;34;5;28;26
18/19;34;6;31;30
18/19;34;7;24;27
18/19;34;8;25;25
18/19;34;9;27;28
